row,shift,method,peak_height_frac,peak_fwhm_pts,xcorr_lag,stretched_flag
189,1261,zero_peak,0.18586444099568714,177,7020,False
190,1505,zero_peak,0.029035400788589384,145,-2862,True
191,1511,zero_peak,0.054239394167764875,158,3340,True
192,1467,zero_peak,0.07456131012793694,144,3310,False
193,1555,zero_peak,0.062309007392662256,180,2937,True
194,1502,zero_peak,0.0564383901892013,139,1402,True
195,758,zero_peak,0.5062316745948561,109,-757,False
196,1492,zero_peak,0.04019054029364589,180,-2874,False
197,1265,zero_peak,0.16677510789563924,169,6995,False
198,1265,zero_peak,0.16677510789563932,169,6995,False
199,1488,zero_peak,0.07932372972611287,141,1458,False
200,1493,zero_peak,0.07089898105053012,184,1449,False
201,1559,zero_peak,0.02517919807816705,148,-2943,True
202,1493,zero_peak,0.04306974316289358,150,-2863,False
203,718,zero_peak,0.97609841391863,111,-756,False
204,726,zero_peak,0.8821680630644663,105,-758,False
205,1523,zero_peak,0.03561953187925029,173,-2860,True
206,1485,zero_peak,0.06263071292147665,183,6796,False
207,1287,zero_peak,0.17116596415604657,195,6982,False
208,1287,zero_peak,0.17116596415604493,195,6982,False
209,776,zero_peak,0.49187898472717406,113,-756,False
210,173,zero_peak,0.10203856587878779,43,-2878,False
211,1285,zero_peak,0.15246748262464974,184,5534,False
212,1285,zero_peak,0.1524674826246502,184,5534,False
213,1512,zero_peak,0.034803590928172694,137,-2871,True
214,1542,zero_peak,0.0342698195053998,171,-2949,True
215,1621,zero_peak,0.029925492211886534,129,7538,True
216,726,zero_peak,0.4216018088875684,127,-757,False
217,1490,zero_peak,0.06801520269437762,175,1458,False
218,1504,zero_peak,0.04637803724455356,164,1464,True
219,1484,zero_peak,0.09792213618733646,134,1452,False
220,-6977,xcorr_fallback,0.0,0,6977,True
221,-6977,xcorr_fallback,0.0,0,6977,True
222,1621,zero_peak,0.030546831813304323,184,-2948,True
223,1475,zero_peak,0.04078815098477756,185,-2870,False
224,1489,zero_peak,0.058312262595065036,153,3340,False
225,1479,zero_peak,0.048198472009657635,175,-2870,False
226,777,zero_peak,0.5820575207692192,116,-760,False
227,725,zero_peak,0.4881318131895309,134,-758,False
228,1291,zero_peak,0.2573199593305232,158,6987,False
229,1291,zero_peak,0.2573199593305236,158,6987,False
230,1538,zero_peak,0.023472523602121927,173,1391,True
231,1497,zero_peak,0.049268752801596725,156,-2959,False
232,740,zero_peak,0.31696142152919404,118,-760,False
233,-7011,xcorr_fallback,0.0,0,7011,True
234,-7011,xcorr_fallback,0.0,0,7011,True
235,1509,zero_peak,0.047668326364783124,135,-2882,True
236,1313,zero_peak,0.2636915496999938,149,6972,False
237,1313,zero_peak,0.2636915496999936,149,6972,False
238,801,zero_peak,0.9865291900845871,98,-763,False
239,1485,zero_peak,0.027050316489212137,180,-2882,False
240,1497,zero_peak,0.050494662555491975,127,-2877,False
241,1507,zero_peak,0.06328345922595725,178,6994,True
242,1531,zero_peak,0.04028463997062477,142,2688,True
243,1495,zero_peak,0.03487537263309629,136,2777,False
244,-6987,xcorr_fallback,0.0,0,6987,True
245,-6987,xcorr_fallback,0.0,0,6987,True
246,793,zero_peak,0.4243811376201054,107,-765,False
247,1487,zero_peak,0.05248196640596031,146,-2869,False
248,191,zero_peak,0.06614717958412623,42,-2891,False
249,1270,zero_peak,0.16463180647605655,176,7010,False
250,1270,zero_peak,0.16463180647605782,176,7010,False
251,-4939,xcorr_fallback,0.0,0,4939,True
252,-4939,xcorr_fallback,0.0,0,4939,True
253,1223,zero_peak,0.1327427127124564,175,7041,False
254,1223,zero_peak,0.13274271271245489,175,7041,False
255,1481,zero_peak,0.08292120643667382,177,3330,False
256,1485,zero_peak,0.039833112853134775,176,-2966,False
257,740,zero_peak,0.44171170418874506,123,-762,False
258,1510,zero_peak,0.024901822402658102,166,-2891,True
259,1231,zero_peak,0.1697115030320882,152,7040,False
260,1231,zero_peak,0.1697115030320881,152,7040,False
261,1267,zero_peak,0.10824772469512224,182,4304,False
262,1267,zero_peak,0.10824772469512457,182,4304,False
263,1273,zero_peak,0.14436456477026813,161,6995,False
264,1273,zero_peak,0.14436456477026818,161,6995,False
265,755,zero_peak,0.6585093358185541,123,-760,False
266,1268,zero_peak,0.1727815112875155,171,7050,False
267,1268,zero_peak,0.1727815112875136,171,7050,False
268,1495,zero_peak,0.03722765809122306,163,-2967,False
269,762,zero_peak,0.3141808354987718,133,-741,False
270,1492,zero_peak,0.0452500309071896,134,-2878,False
271,1293,zero_peak,0.22240177893251756,167,6976,False
272,1293,zero_peak,0.22240177893251192,167,6976,False
273,731,zero_peak,0.22987464001553884,124,-758,False
274,752,zero_peak,0.729548952186937,133,-761,False
275,708,zero_peak,0.28309856240309506,143,-757,False
276,1291,zero_peak,0.19657787773486363,170,7025,False
277,1291,zero_peak,0.19657787773486443,170,7025,False
278,1269,zero_peak,0.23316736978414015,187,4302,False
279,1269,zero_peak,0.23316736978413988,187,4302,False
280,1271,zero_peak,0.16909982778867022,162,7001,False
281,1271,zero_peak,0.1690998277886703,162,7001,False
282,1519,zero_peak,0.050649532771484734,145,1452,True
283,748,zero_peak,0.5999083676895809,125,-758,False
284,783,zero_peak,0.4210185466974357,114,-753,False
285,1485,zero_peak,0.06682140937078232,168,1446,False
286,1498,zero_peak,0.025204965569311392,146,1463,False
287,688,zero_peak,0.4852066522137176,121,-756,False
288,790,zero_peak,0.409504613952169,115,-758,False
289,1483,zero_peak,0.055959665189375965,132,1468,False
290,-5500,xcorr_fallback,0.0,0,5500,True
291,-5500,xcorr_fallback,0.0,0,5500,True
292,1477,zero_peak,0.052263534010454256,136,1516,False
293,1494,zero_peak,0.030562523614091012,130,-2875,False
294,1267,zero_peak,0.16279770078517827,181,6753,False
295,1267,zero_peak,0.16279770078517802,181,6753,False
296,732,zero_peak,0.35194939140084985,133,-753,False
297,1557,zero_peak,0.04701952349535053,131,2760,True
298,1483,zero_peak,0.04546084347297368,135,-2865,False
299,756,zero_peak,0.40522646561154957,113,-757,False
300,1503,zero_peak,0.04765705575596438,132,-2879,True
301,1505,zero_peak,0.04078396576862116,129,-2874,True
302,1496,zero_peak,0.0606316399344455,143,1453,False
303,715,zero_peak,0.49007359507357706,114,-749,False
304,754,zero_peak,0.44117444992049637,104,-761,False
305,731,zero_peak,0.5268546088872486,112,-759,False
306,747,zero_peak,0.2532761124669672,142,-751,False
307,1518,zero_peak,0.056355524485089056,133,-2892,True
308,783,zero_peak,0.471916688077595,129,-763,False
309,1315,zero_peak,0.11375589164710351,182,4933,False
310,1315,zero_peak,0.11375589164710488,182,4933,False
311,-2663,xcorr_fallback,0.0,0,2663,True
312,1513,zero_peak,0.0460879544681641,126,-2883,True
313,1231,zero_peak,0.13587013403066084,158,7036,False
314,1231,zero_peak,0.13587013403066045,158,7036,False
315,751,zero_peak,0.3097890051273631,118,-762,False
316,1266,zero_peak,0.14089191958500813,176,7008,False
317,1266,zero_peak,0.1408919195850081,176,7008,False
318,786,zero_peak,0.4737487116761779,114,-761,False
319,1494,zero_peak,0.05605893022477657,142,-2880,False
320,1501,zero_peak,0.0658967757162899,137,1413,True
321,1271,zero_peak,0.12810712432706556,150,4304,False
322,1271,zero_peak,0.12810712432706556,150,4304,False
323,1550,zero_peak,0.0267364911172727,121,-3001,True
324,1513,zero_peak,0.042726077071710694,129,1437,True
325,771,zero_peak,0.689503977430966,132,-759,False
326,773,zero_peak,0.47902386742701414,118,-761,False
327,761,zero_peak,0.526651855388006,142,-751,False
328,1495,zero_peak,0.04072137140577841,169,-2879,False
329,1295,zero_peak,0.2264098852707373,140,4284,False
330,1295,zero_peak,0.2264098852707348,140,4284,False
331,1571,zero_peak,0.03166062708715145,166,6913,True
332,1478,zero_peak,0.05580054349677187,143,1513,False
333,1509,zero_peak,0.035546216800658025,131,-2883,True
334,1511,zero_peak,0.05081562690755888,127,-2880,True
335,1477,zero_peak,0.043407878935209,177,-2875,False
336,1500,zero_peak,0.03750356998581444,155,-2879,False
337,1269,zero_peak,0.12487708263439953,164,6995,False
338,1269,zero_peak,0.12487708263439928,164,6995,False
339,1480,zero_peak,0.04894043047362045,148,1457,False
340,1561,zero_peak,0.024575616169552967,131,-2947,True
341,1271,zero_peak,0.12853816334080975,160,7001,False
342,1271,zero_peak,0.1285381633408107,160,7001,False
343,1496,zero_peak,0.06717566473880884,128,-2880,False
344,770,zero_peak,0.6070699241967871,78,-759,False
345,1498,zero_peak,0.06415306446494065,134,-2880,False
346,1499,zero_peak,0.05052130925973838,141,1456,False
347,1243,zero_peak,0.1836828531118665,185,7026,False
348,1243,zero_peak,0.18368285311186738,185,7026,False
349,1553,zero_peak,0.05713176870212435,136,3234,True
350,1503,zero_peak,0.04916332252675302,135,1447,True
351,1481,zero_peak,0.05056619994380572,135,6991,False
352,1513,zero_peak,0.02935201801758523,132,-2876,True
353,1487,zero_peak,0.08097321114922805,161,3328,False
354,766,zero_peak,0.40780181607499216,134,-753,False
355,1271,zero_peak,0.14255705948657996,172,4299,False
356,1271,zero_peak,0.14255705948657987,172,4299,False
357,1491,zero_peak,0.064323571181546,128,3280,False
358,1495,zero_peak,0.041767915179292535,134,-2865,False
359,1503,zero_peak,0.046683419034460015,124,-2887,True
360,1486,zero_peak,0.05423537843083676,149,-2871,False
361,774,zero_peak,0.2864034690640527,119,-757,False
362,757,zero_peak,0.5494878419098499,116,-748,False
363,772,zero_peak,0.4357342304241361,110,-761,False
364,103,zero_peak,0.10488668222314282,29,5498,False
365,103,zero_peak,0.10488668222314296,29,5498,False
366,732,zero_peak,0.39994042119444523,120,-760,False
367,1313,zero_peak,0.21474388581762077,153,6971,False
368,1313,zero_peak,0.21474388581762097,153,6971,False
369,747,zero_peak,0.6195262172622162,121,-759,False
370,1653,xcorr_fallback,0.0,0,-1653,True
371,1549,zero_peak,0.03217842536202053,125,-2949,True
372,777,zero_peak,0.3359686331991551,115,-759,False
373,1484,zero_peak,0.044425730022977755,140,-2871,False
374,785,zero_peak,0.5193114708102008,117,-756,False
375,1269,zero_peak,0.14576909352969675,192,7005,False
376,1269,zero_peak,0.14576909352969836,192,7005,False
377,1559,zero_peak,0.07768364078623152,140,6740,True
378,763,zero_peak,0.629852431687495,129,-754,False
379,1491,zero_peak,0.06251872265174295,146,3355,False
380,-4300,xcorr_fallback,0.0,0,4300,True
381,-4300,xcorr_fallback,0.0,0,4300,True
382,767,zero_peak,0.6346093736513547,123,-756,False
383,748,zero_peak,0.4710925264000473,128,-755,False
384,1311,zero_peak,0.34568251965673596,179,6973,False
385,1311,zero_peak,0.34568251965673635,179,6973,False
386,728,zero_peak,0.4126344347382207,116,-762,False
387,-2385,zero_peak,0.9747110395278582,39,4553,True
388,763,zero_peak,0.33476309530221243,130,-757,False
389,745,zero_peak,0.5103999314365439,138,-752,False
390,751,zero_peak,0.3844573361048568,119,-759,False
391,1507,zero_peak,0.040485501466685045,148,1451,True
392,767,zero_peak,0.30688094851136827,137,-758,False
393,759,zero_peak,0.33744660652665814,143,-654,False
394,1495,zero_peak,0.0370268474497849,142,-2879,False
395,778,zero_peak,0.5665557378335062,108,-761,False
396,1493,zero_peak,0.058849539927098675,185,-2887,False
397,1305,zero_peak,0.16673487806831208,158,6966,False
398,1305,zero_peak,0.1667348780683121,158,6966,False
399,782,zero_peak,0.47083521211118456,118,-750,False
400,741,zero_peak,0.2861769275415977,117,-761,False
401,753,zero_peak,0.4008190897626108,120,-763,False
402,748,zero_peak,0.23323201811990316,161,-759,False
403,1483,zero_peak,0.07293546023382697,161,6801,False
404,1324,zero_peak,0.09374010223891077,157,5502,False
405,1324,zero_peak,0.09374010223891094,157,5502,False
406,-5545,xcorr_fallback,0.0,0,5545,True
407,-5545,xcorr_fallback,0.0,0,5545,True
408,1487,zero_peak,0.05346005109178535,130,-2871,False
409,1285,zero_peak,0.13919661965866825,160,6980,False
410,1285,zero_peak,0.13919661965866786,160,6980,False
411,-2377,zero_peak,0.981417292646746,43,4538,True
412,786,zero_peak,0.4474502176597267,112,-761,False
413,-1484,xcorr_fallback,0.0,0,1484,False
414,1741,xcorr_fallback,0.0,0,-1741,True
415,1289,zero_peak,0.12066580289719467,164,6979,False
416,1289,zero_peak,0.12066580289719661,164,6979,False
417,748,zero_peak,0.41753274586809613,138,-755,False
418,763,zero_peak,0.61907239239125,138,-755,False
419,1285,zero_peak,0.14275466758339628,161,6985,False
420,1285,zero_peak,0.142754667583396,161,6985,False
421,1487,zero_peak,0.05419903602274375,138,1459,False
422,771,zero_peak,0.3350295004962072,139,-753,False
423,743,zero_peak,0.30169840834826284,131,-753,False
424,768,zero_peak,0.48510475177193996,118,-749,False
425,1495,zero_peak,0.06745130610802753,137,1454,False
426,1486,zero_peak,0.06991026509344589,140,-2876,False
427,1270,zero_peak,0.16392492033540657,185,4302,False
428,1270,zero_peak,0.16392492033540448,185,4302,False
429,1527,zero_peak,0.05945767290835843,156,6788,True
430,1483,zero_peak,0.0795634691879365,162,1454,False
431,1269,zero_peak,0.16506729266160564,172,7000,False
432,1269,zero_peak,0.16506729266160414,172,7000,False
433,1698,zero_peak,0.03816704301230451,91,7024,True
434,1497,zero_peak,0.068793605139745,151,6783,False
435,-4329,xcorr_fallback,0.0,0,4329,True
436,-4329,xcorr_fallback,0.0,0,4329,True
437,1525,zero_peak,0.03793797456742903,151,-2871,True
438,788,zero_peak,0.4244270492635564,120,-762,False
439,1284,zero_peak,0.10189267775795778,159,4292,False
440,1284,zero_peak,0.10189267775795784,159,4292,False
441,783,zero_peak,0.6481377562626056,92,-755,False
442,770,zero_peak,0.4797042327970001,126,-759,False
443,-6996,xcorr_fallback,0.0,0,6996,True
444,-6996,xcorr_fallback,0.0,0,6996,True
445,737,zero_peak,0.46429643716604757,109,-757,False
446,1313,zero_peak,0.22206539596698474,153,6977,False
447,1313,zero_peak,0.22206539596698363,153,6977,False
448,1271,zero_peak,0.13382708592919357,172,4301,False
449,1271,zero_peak,0.13382708592919415,172,4301,False
450,1497,zero_peak,0.0400731048748595,164,-2887,False
451,753,zero_peak,0.4703576615429753,121,-757,False
452,768,zero_peak,0.3268468700061486,126,-755,False
453,714,zero_peak,0.5294361093314971,82,-780,False
454,1549,zero_peak,0.03665501920148869,184,-2950,True
455,1491,zero_peak,0.045460379884131326,134,1449,False
456,-89,zero_peak,0.17382022750603643,31,2291,False
457,-89,zero_peak,0.17382022750603904,31,2291,False
458,788,zero_peak,0.4726439744942844,115,-762,False
459,1503,zero_peak,0.031030712078848516,133,-2961,True
460,1301,zero_peak,0.23678843204247746,170,6972,False
461,1301,zero_peak,0.23678843204247557,170,6972,False
462,752,zero_peak,0.3130529921170743,137,-758,False
463,1495,zero_peak,0.05558056652815057,139,-2877,False
464,715,zero_peak,0.20114829493381237,160,-749,False
465,779,zero_peak,0.43294510421807925,117,-756,False
466,771,zero_peak,0.5653781910919577,119,-745,False
467,740,zero_peak,0.43801164450769564,107,-761,False
468,1269,zero_peak,0.1256204343361848,158,4307,False
469,1269,zero_peak,0.12562043433618517,158,4307,False
470,798,zero_peak,0.42402948971604154,106,-767,False
471,751,zero_peak,0.28812869130568064,135,-757,False
472,768,zero_peak,0.536555344395737,141,-756,False
473,1501,zero_peak,0.02041548168568091,143,2757,True
474,1275,zero_peak,0.11462740482359544,158,4300,False
475,1275,zero_peak,0.11462740482359515,158,4300,False
476,730,zero_peak,0.18966625445228558,121,-778,False
477,1287,zero_peak,0.16487006159216003,175,4289,False
478,1287,zero_peak,0.1648700615921614,175,4289,False
479,1502,zero_peak,0.05449315499471867,131,-2875,True
480,1297,zero_peak,0.19231580276891125,157,7011,False
481,1297,zero_peak,0.1923158027689138,157,7011,False
482,783,zero_peak,0.49443144121708243,111,-760,False
483,763,zero_peak,0.6854688223575675,106,-756,False
484,1261,zero_peak,0.12264763136030074,159,7009,False
485,1261,zero_peak,0.1226476313603005,159,7009,False
486,737,zero_peak,0.4908555528548523,95,-756,False
487,716,zero_peak,0.6163326709138437,106,-763,False
488,1502,zero_peak,0.056777450624572054,134,7003,True
489,722,zero_peak,0.296946330556124,131,-755,False
490,783,zero_peak,0.3018438318879508,104,-1613,False
491,1479,zero_peak,0.05156838117097855,169,1448,False
492,784,zero_peak,0.5169475702568186,97,-763,False
493,708,zero_peak,0.17390423984306708,129,-760,False
