bmse_id,simulation,name,inchi,inchi_skeleton,formula,ref_field_mhz,n_sim_points,roi_rmsd,ph,temperature_k,solvent,reference,sim_csv,has_field
bmse000609,simulation_1,Methyl-ferulate,"InChI=1S/C11H12O4/c1-14-10-7-8(3-5-9(10)12)4-6-11(13)15-2/h3-7,12H,1-2H3/b6-4+",1S/C11H12O4/c1-14-10-7-8(3-5-9(10)12)4-6-11(13)15-2,C11H12O4,499.84,65536,,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000609/simulation_1/B0s/sim_600MHz.csv,True
bmse000610,simulation_1,N-acetylglycine,"InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)",1S/C4H7NO3/c1-3(6)5-2-4(7)8,C4H7NO3,400.13,32768,0.01696,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000610/simulation_1/B0s/sim_600MHz.csv,True
bmse000611,simulation_1,P-coumaraldehyde,"InChI=1S/C9H8O2/c10-7-1-2-8-3-5-9(11)6-4-8/h1-7,11H/b2-1+",1S/C9H8O2/c10-7-1-2-8-3-5-9(11)6-4-8,C9H8O2,499.84,65536,0.00746,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000611/simulation_1/B0s/sim_600MHz.csv,True
bmse000614,simulation_1,Vanillic acid,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9,C8H8O4,499.84,65536,0.00461,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000614/simulation_1/B0s/sim_600MHz.csv,True
bmse000615,simulation_1,2-Furoylglycine,"InChI=1S/C7H7NO4/c9-6(10)4-8-7(11)5-2-1-3-12-5/h1-3H,4H2,(H,8,11)(H,9,10)",1S/C7H7NO4/c9-6(10)4-8-7(11)5-2-1-3-12-5,C7H7NO4,499.84,65536,0.01178,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000615/simulation_1/B0s/sim_600MHz.csv,True
bmse000617,simulation_1,2-Phenylbutyric-acid,"InChI=1S/C10H12O2/c1-2-9(10(11)12)8-6-4-3-5-7-8/h3-7,9H,2H2,1H3,(H,11,12)/t9-/m0/s1",1S/C10H12O2/c1-2-9(10(11)12)8-6-4-3-5-7-8,C10H12O2,499.84,65536,0.01243,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000617/simulation_1/B0s/sim_600MHz.csv,True
bmse000618,simulation_1,3-Hydroxy-4-methoxycinnamic-acid,"InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13,C10H10O4,499.84,65536,0.00669,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000618/simulation_1/B0s/sim_600MHz.csv,True
bmse000619,simulation_1,3-Methyladipic-acid,"InChI=1S/C7H12O4/c1-5(4-7(10)11)2-3-6(8)9/h5H,2-4H2,1H3,(H,8,9)(H,10,11)/t5-/m1/s1",1S/C7H12O4/c1-5(4-7(10)11)2-3-6(8)9,C7H12O4,499.84,65536,0.01422,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000619/simulation_1/B0s/sim_600MHz.csv,True
bmse000620,simulation_1,3-Methylsalicylic-acid,"InChI=1S/C8H8O3/c1-5-3-2-4-6(7(5)9)8(10)11/h2-4,9H,1H3,(H,10,11)",1S/C8H8O3/c1-5-3-2-4-6(7(5)9)8(10)11,C8H8O3,499.84,65536,0.00959,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000620/simulation_1/B0s/sim_600MHz.csv,True
bmse000621,simulation_1,3-Pyridine-aldoxime,"InChI=1S/C6H6N2O/c9-8-5-6-2-1-3-7-4-6/h1-5,9H/b8-5+",1S/C6H6N2O/c9-8-5-6-2-1-3-7-4-6,C6H6N2O,499.84,65536,0.01428,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000621/simulation_1/B0s/sim_600MHz.csv,True
bmse000622,simulation_1,3-Pyridinecarbonitrile,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H",1S/C6H4N2/c7-4-6-2-1-3-8-5-6,C6H4N2,499.84,65536,0.02174,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000622/simulation_1/B0s/sim_600MHz.csv,True
bmse000623,simulation_1,4-Hydroxybenzyl-alcohol,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6,C7H8O2,499.84,65536,0.00737,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000623/simulation_1/B0s/sim_600MHz.csv,True
bmse000624,simulation_1,4-Methylsalicylic-acid,"InChI=1S/C8H8O3/c1-5-2-3-6(8(10)11)7(9)4-5/h2-4,9H,1H3,(H,10,11)",1S/C8H8O3/c1-5-2-3-6(8(10)11)7(9)4-5,C8H8O3,499.84,65536,0.01297,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000624/simulation_1/B0s/sim_600MHz.csv,True
bmse000625,simulation_1,4-Methylvaleric-acid,"InChI=1S/C6H12O2/c1-5(2)3-4-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)",1S/C6H12O2/c1-5(2)3-4-6(7)8,C6H12O2,499.84,65536,0.01129,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000625/simulation_1/B0s/sim_600MHz.csv,True
bmse000626,simulation_1,5-Methoxytryptamine,"InChI=1S/C11H14N2O/c1-14-9-2-3-11-10(6-9)8(4-5-12)7-13-11/h2-3,6-7,13H,4-5,12H2,1H3",1S/C11H14N2O/c1-14-9-2-3-11-10(6-9)8(4-5-12)7-13-11,C11H14N2O,499.84,65536,0.01892,N/A,298,,,/reboxitory/2023/12/GISSMO/bmse000626/simulation_1/B0s/sim_600MHz.csv,True
bmse000629,simulation_1,L-4-hydroxyphenylglycine,"InChI=1S/C8H9NO3/c9-7(8(11)12)5-1-3-6(10)4-2-5/h1-4,7,10H,9H2,(H,11,12)/t7-/m0/s1",1S/C8H9NO3/c9-7(8(11)12)5-1-3-6(10)4-2-5,C8H9NO3,499.84,65536,0.00917,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000629/simulation_1/B0s/sim_600MHz.csv,True
bmse000631,simulation_1,O-phospho-DL-threonine,"InChI=1S/C4H10NO6P/c1-2(3(5)4(6)7)11-12(8,9)10/h2-3H,5H2,1H3,(H,6,7)(H2,8,9,10)/t2-,3+/m1/s1","1S/C4H10NO6P/c1-2(3(5)4(6)7)11-12(8,9)10",C4H10NO6P,499.84,65536,0.01313,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000631/simulation_1/B0s/sim_600MHz.csv,True
bmse000632,simulation_1,Sulfoacetic-acid,"InChI=1S/C2H4O5S/c3-2(4)1-8(5,6)7/h1H2,(H,3,4)(H,5,6,7)","1S/C2H4O5S/c3-2(4)1-8(5,6)7",C2H4O5S,499.84,65536,0.00640,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000632/simulation_1/B0s/sim_600MHz.csv,True
bmse000634,simulation_1,4-4-DDT,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H","1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10",C14H9Cl5,499.84,32768,0.01394,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000634/simulation_1/B0s/sim_600MHz.csv,True
bmse000635,simulation_1,4-Chlorophenoxyacetic acid,"InChI=1S/C8H7ClO3/c9-6-1-3-7(4-2-6)12-5-8(10)11/h1-4H,5H2,(H,10,11)",1S/C8H7ClO3/c9-6-1-3-7(4-2-6)12-5-8(10)11,C8H7ClO3,499.84,32768,0.00727,,,,,/reboxitory/2023/12/GISSMO/bmse000635/simulation_1/B0s/sim_600MHz.csv,True
bmse000636,simulation_1,Phenylacetylglycine,"InChI=1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,12)(H,13,14)",1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8,C10H11NO3,499.84,32768,0.01164,,,,,/reboxitory/2023/12/GISSMO/bmse000636/simulation_1/B0s/sim_600MHz.csv,True
