path,extension,size_bytes,size_mb,shape,dtype,read_error
Plots and Visualisations/nmr_mae_v2_20251009_150517_training_curves.png,.png,268736,0.26,,,
Plots and Visualisations/nmr_mae_v2_20251009_225655_reconstructions.png,.png,1188985,1.13,,,
Plots and Visualisations/nmr_mae_v2_20251009_225655_training_curves.png,.png,255471,0.24,,,
SSL_models/Itr6Rerun_20251209_020839_bs16_mr0.15_ps1024_20251209_020839_best.pth,.pth,22633907,21.59,,,
SSL_models/Itr6Rerun_20251209_020839_reconstructions.png,.png,1139008,1.09,,,
SSL_models/Itr6Rerun_20251209_020839_training_curves.png,.png,334146,0.32,,,
SSL_models/Itr6Rerun_20251209_023500_bs16_mr0.15_ps1024_20251209_023500_best.pth,.pth,22633907,21.59,,,
SSL_models/Itr6Rerun_20251209_023500_reconstructions.png,.png,1163575,1.11,,,
SSL_models/Itr6Rerun_20251209_023500_training_curves.png,.png,395126,0.38,,,
SSL_models/Itr6Rerun_20251209_030845_bs16_mr0.15_ps1024_20251209_030845_best.pth,.pth,22633907,21.59,,,
SSL_models/Itr6Rerun_20251209_035637_bs16_mr0.15_ps1024_20251209_035637_best_300epochs.pth,.pth,22633907,21.59,,,
SSL_models/Itr6Rerun_20251209_035637_reconstructions.png,.png,1159044,1.11,,,
SSL_models/Itr6Rerun_20251209_035637_training_curves.png,.png,348583,0.33,,,
SSL_models/Itr6Rerun_20251209_045417_bs16_mr0.15_ps1024_20251209_045417_best.pth,.pth,22633907,21.59,,,
SSL_models/Itr6Rerun_20251209_045417_reconstructions.png,.png,1205280,1.15,,,
SSL_models/Itr6Rerun_20251209_045417_training_curves.png,.png,374522,0.36,,,
SSL_models/Itr6Rerun_20251211_084137_bs16_mr0.25_ps1024_best.pth,.pth,22630659,21.58,,,
SSL_models/Itr6Rerun_20251211_084137_reconstructions.png,.png,1118322,1.07,,,
SSL_models/Itr6Rerun_20251211_084137_training_curves.png,.png,334443,0.32,,,
SSL_models/Itr6Rerun_20251212_100739_bs16_mr0.35_ps1024_best.pth,.pth,22630659,21.58,,,
SSL_models/Itr6Rerun_20251212_100739_reconstructions.png,.png,1190973,1.14,,,
SSL_models/Itr6Rerun_20251212_100739_training_curves.png,.png,375797,0.36,,,
SSL_models/Itr6Rerun_20251212_103256_bs16_mr0.35_ps1024_best.pth,.pth,22630659,21.58,,,
SSL_models/Itr6Rerun_20251212_103256_reconstructions.png,.png,1193364,1.14,,,
SSL_models/Itr6Rerun_20251212_103256_training_curves.png,.png,306766,0.29,,,
SSL_models/Itr6Rerun_20260105_062242_bs16_mr0.50_ps1024_best.pth,.pth,22630659,21.58,,,
SSL_models/Itr6Rerun_20260105_062242_reconstructions.png,.png,1165622,1.11,,,
SSL_models/Itr6Rerun_20260105_062242_training_curves.png,.png,296625,0.28,,,
SSL_models/Itr6Rerun_20260106_035853_bs16_mr0.50_ps1024_best.pth,.pth,22630659,21.58,,,
SSL_models/Itr6Rerun_20260106_041031_bs16_mr0.50_ps1024_best.pth,.pth,22630659,21.58,,,
SSL_models/Itr6Rerun_20260106_041031_reconstructions.png,.png,1144952,1.09,,,
SSL_models/Itr6Rerun_20260106_041031_test_reconstructions.png,.png,1895422,1.81,,,
SSL_models/Itr6Rerun_20260106_041031_test_results.json,.json,155,0.00,,,
SSL_models/Itr6Rerun_20260106_041031_training_curves.png,.png,290122,0.28,,,
SSL_models/Itr6Rerun_20260119_100840_bs16_mr0.50_ps1024_best.pth,.pth,22630659,21.58,,,
SSL_models/Itr6Rerun_20260120_055529_bs16_mr0.50_ps1024_best.pth,.pth,22630659,21.58,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260120_060754_bs16_mr0.50_ps1024_best.pth,.pth,22649510,21.60,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260120_060754_reconstructions.png,.png,1072589,1.02,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260120_060754_test_reconstructions.png,.png,1720477,1.64,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260120_060754_test_results.json,.json,153,0.00,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260120_060754_training_curves.png,.png,274835,0.26,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260203_023928_bs16_mr0.25_ps1024_best.pth,.pth,22649510,21.60,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260203_023928_reconstructions.png,.png,1006623,0.96,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260203_023928_test_reconstructions.png,.png,1541149,1.47,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260203_023928_test_results.json,.json,153,0.00,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260203_023928_training_curves.png,.png,286584,0.27,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260222_113533_bs16_mr0.25_ps1024_best.pth,.pth,22649510,21.60,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260222_113533_reconstructions.png,.png,1058349,1.01,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260222_113533_test_reconstructions.png,.png,1668993,1.59,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260222_113533_test_results.json,.json,152,0.00,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260222_113533_training_curves.png,.png,289838,0.28,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260223_115451_bs16_mr0.35_ps1024_best.pth,.pth,22649510,21.60,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260223_115451_reconstructions.png,.png,1023618,0.98,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260223_115451_test_reconstructions.png,.png,1694812,1.62,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260223_115451_test_results.json,.json,155,0.00,,,
SSL_models/aligned_nmr_spectra_128K_Plasma_NoSuppress_20260223_115451_training_curves.png,.png,276898,0.26,,,
