lag_bins,lag_points,lag_ppm,across_spectra_signed,across_spectra_absmean,within_spectrum_autocorr
98,3136,0.287109375,0.6342490547313587,0.6900512377655473,0.14226464401539962
99,3168,0.2900390625,0.6326834370109515,0.6893464092088245,0.1434438949746996
100,3200,0.29296875,0.6315435199637023,0.6892046961398087,0.13978005586977277
101,3232,0.2958984375,0.6295400234001681,0.6885833907474528,0.1374443786785114
102,3264,0.298828125,0.6279023013917205,0.6881017499132137,0.13674600070449933
103,3296,0.3017578125,0.6271258684755979,0.6884220934739435,0.12804680275837374
104,3328,0.3046875,0.6252177870520976,0.6884007827552653,0.12115990821311
105,3360,0.3076171875,0.6237767610085445,0.6885748993188753,0.12697818683737133
106,3392,0.310546875,0.6234641961477798,0.6890528103752329,0.1317606333028559
107,3424,0.3134765625,0.6223037669537866,0.6891267920603867,0.12231445912155854
108,3456,0.31640625,0.6184148166375854,0.6871624067801833,0.10903928318654645
109,3488,0.3193359375,0.6156631027379387,0.6860551060775812,0.0966478626807788
110,3520,0.322265625,0.6138996900265197,0.6854216690081487,0.0881574256578622
111,3552,0.3251953125,0.6127688609140551,0.685081941701553,0.08783532024286189
112,3584,0.328125,0.6132967102234393,0.6857136755457864,0.09534512693823226
113,3616,0.3310546875,0.6123651923337328,0.6843424170423673,0.09556299909463932
114,3648,0.333984375,0.6114646261201042,0.6830837374215586,0.0882533168969739
115,3680,0.3369140625,0.6102951507445401,0.6819904503681375,0.08182552605109712
116,3712,0.33984375,0.6093098322642992,0.6810377609320469,0.0772403668888598
117,3744,0.3427734375,0.6083129020514086,0.6807711261370318,0.07778348471387869
118,3776,0.345703125,0.6066378570237145,0.6795795661222019,0.08077356677298254
119,3808,0.3486328125,0.605142979501984,0.6791437434388475,0.0805661834168445
120,3840,0.3515625,0.6038947170757768,0.6787852063292636,0.07632636092669252
121,3872,0.3544921875,0.6036108882382121,0.6789029792935831,0.07596762156867268
122,3904,0.357421875,0.6027659574172161,0.6787361716727159,0.07696791198468936
123,3936,0.3603515625,0.6031257712269577,0.6792633678617529,0.08365920324876004
124,3968,0.36328125,0.6046169463876542,0.6794755844709883,0.09078491619805666
125,4000,0.3662109375,0.6056327932231897,0.6791472246038429,0.09262718962799257
126,4032,0.369140625,0.6068877446662813,0.6784724363038575,0.09446308862599966
127,4064,0.3720703125,0.6085731053957508,0.6785203088141833,0.09586581863146994
128,4096,0.375,0.6103243594247283,0.679424234424682,0.0939370720436505
129,4128,0.3779296875,0.6124333769745717,0.6794313300000289,0.09278580299731386
130,4160,0.380859375,0.6141508799839138,0.6789404575008993,0.0930970528491023
131,4192,0.3837890625,0.6167130571168427,0.6795972796791709,0.09530931899149096
132,4224,0.38671875,0.6194096695979528,0.6793915136878514,0.10030756659756607
133,4256,0.3896484375,0.6208066931073242,0.6789346987917775,0.11205460793032387
134,4288,0.392578125,0.6211820267089154,0.6788611154458746,0.13618132415260403
135,4320,0.3955078125,0.6223882263885004,0.6789281718814333,0.1514769442028615
136,4352,0.3984375,0.6233120767988092,0.6787782373832567,0.14572998595996312
137,4384,0.4013671875,0.6224306041324861,0.6774727861855411,0.14081902873997132
138,4416,0.404296875,0.6221973670494743,0.6767353250854511,0.13457722501518835
139,4448,0.4072265625,0.6225029709126876,0.6764126846311953,0.12113064762000696
140,4480,0.41015625,0.6220713200949,0.6755861052854732,0.11503294234663046
141,4512,0.4130859375,0.6224092908678903,0.6757600136110898,0.11645254724244124
142,4544,0.416015625,0.6226758585036787,0.6766181207845758,0.11732965813956138
143,4576,0.4189453125,0.6220709783316037,0.6765948370466472,0.1145361839797768
144,4608,0.421875,0.6214592706343729,0.6763491866571385,0.11077588214545545
145,4640,0.4248046875,0.6195957336118327,0.6757312087301531,0.10498078943655635
146,4672,0.427734375,0.6173811410597994,0.6745806109974569,0.10245167109534534
147,4704,0.4306640625,0.6161239342305892,0.6743055366278595,0.10307454962215105
148,4736,0.43359375,0.6144977993461722,0.6744040921453791,0.10064046594274141
149,4768,0.4365234375,0.6122133685175315,0.6738479041281382,0.09460189053128155
150,4800,0.439453125,0.609294056628648,0.6731601771236311,0.09058023141062879
151,4832,0.4423828125,0.606255362542919,0.6720053372881558,0.08879133810002639
152,4864,0.4453125,0.6040311172084217,0.6715301077104225,0.09073024499423556
153,4896,0.4482421875,0.6016925778117874,0.6710491172963247,0.09344876342095347
154,4928,0.451171875,0.5996671045153914,0.6703261685273103,0.09393149951643662
155,4960,0.4541015625,0.5966834451682222,0.6690479870393927,0.09087653799066071
156,4992,0.45703125,0.5936188933123822,0.6674346190517536,0.08812024026032374
157,5024,0.4599609375,0.5914837304859721,0.6665441392011642,0.08755466229017543
158,5056,0.462890625,0.5903248950740134,0.6658132124589952,0.08750878048180535
159,5088,0.4658203125,0.5892907136445593,0.6650544607070161,0.08439566909062886
160,5120,0.46875,0.5878043723845413,0.6640389819758418,0.07898693062988905
161,5152,0.4716796875,0.5865918140516644,0.6624772044619887,0.07221600827134242
162,5184,0.474609375,0.5855539999710473,0.6611968743761152,0.06857015612274431
163,5216,0.4775390625,0.5844364712394018,0.660095459853957,0.06620296153180999
164,5248,0.48046875,0.583112609670263,0.6593027020548861,0.06415038060691378
165,5280,0.4833984375,0.5811566896567861,0.6595986477624701,0.059387768555292986
166,5312,0.486328125,0.5791629685826867,0.6595458709078622,0.05441047231056243
167,5344,0.4892578125,0.5770740340767428,0.6596433235359245,0.050972208355543926
168,5376,0.4921875,0.5746941825528248,0.6587894332074775,0.049920757803241976
169,5408,0.4951171875,0.5731436782409431,0.6585841472681908,0.05146367541555648
170,5440,0.498046875,0.5721541768638754,0.6584214572135275,0.05315972589602857
171,5472,0.5009765625,0.5712054415926506,0.6582842160138972,0.053769298909853575
172,5504,0.50390625,0.5702293846315741,0.6581740630622365,0.057175563891541464
173,5536,0.5068359375,0.5698500426195571,0.6577642711574182,0.06231051933299293
174,5568,0.509765625,0.569856001134937,0.6571622011041356,0.06351800523250531
175,5600,0.5126953125,0.5691622122254739,0.6568752834564429,0.06477249213700684
176,5632,0.515625,0.568292040480291,0.6567768845715118,0.06679242584649459
177,5664,0.5185546875,0.5671254925220455,0.657617251157303,0.06512150206262267
178,5696,0.521484375,0.5657772315159213,0.658258348113152,0.06378777472641428
179,5728,0.5244140625,0.5630962310361892,0.6578691184962189,0.06363727853571367
180,5760,0.52734375,0.5607880519536829,0.6574270243319377,0.06352825933906586
181,5792,0.5302734375,0.5591345941112956,0.6575988597449172,0.06420714262408803
182,5824,0.533203125,0.5572844760212211,0.6580975925449966,0.06690830860574408
183,5856,0.5361328125,0.5560666047757884,0.6586361449164801,0.06776967032603615
184,5888,0.5390625,0.5540635892903393,0.6579721935374798,0.06505039019687116
185,5920,0.5419921875,0.5525198904956918,0.6573697387434055,0.063154778950202
186,5952,0.544921875,0.5505003346597943,0.6570786416437584,0.05727481549263237
187,5984,0.5478515625,0.5485601377473223,0.6573086436238564,0.053312407176534085
188,6016,0.55078125,0.5468965587314281,0.6564514768133001,0.049138892689283856
189,6048,0.5537109375,0.5450768826373498,0.6555456512836758,0.042271759917943054
190,6080,0.556640625,0.5448075373514004,0.6551284958533575,0.04129218794077488
191,6112,0.5595703125,0.5448462906560444,0.6550094214114549,0.04235734675392673
192,6144,0.5625,0.5444766826676687,0.6548154304694991,0.03896410744887249
193,6176,0.5654296875,0.5445273750307893,0.654807485096026,0.03853854995913762
194,6208,0.568359375,0.5442764904076888,0.6537675901542147,0.03943216516025659
195,6240,0.5712890625,0.5443181307904736,0.6532797348678316,0.038852768030518715
196,6272,0.57421875,0.5446057171822966,0.6528213111777967,0.03874175764065478
197,6304,0.5771484375,0.5457184511713324,0.6525106230797032,0.040199439107360666
198,6336,0.580078125,0.5466779362371051,0.651885735389947,0.042011004735094254
