row,votes,corr_to_median,pca_resid,iso_score
9445,1,0.22561899,0.36260533,0.5671812857263524
85,1,0.039597187,0.35424006,0.45900282288862365
9457,1,0.27535248,0.3541753,0.5514869276346328
117,1,0.041638367,0.35015514,0.4443458736194845
9565,1,-0.00503034,0.34816796,0.4255876809206543
9566,1,-0.00503034,0.34816796,0.4255876809206543
9604,1,0.2537934,0.34768853,0.5550456295392786
223,1,0.038294468,0.34745666,0.4431449460657791
9559,1,0.21028891,0.34693557,0.5720148851452138
454,1,0.037000753,0.34664145,0.43830689744983764
477,1,0.016063891,0.34536338,0.4598881869616628
478,1,0.016063891,0.34536338,0.4598881869616628
515,1,0.034551196,0.34525278,0.44026289062406737
9402,1,0.16804966,0.34513763,0.5666455822957072
9447,1,0.25229055,0.34509146,0.5611436889987464
201,1,0.022041116,0.34491965,0.4615913965962405
324,1,0.011762885,0.34481037,0.46395065979290895
8866,1,0.50706625,0.3438204,0.5550587699834431
371,1,0.024976622,0.34309253,0.45888985818186667
9273,1,0.2877739,0.34284037,0.5611859350516829
9324,1,0.056308042,0.34215915,0.5856656909397409
9442,1,0.0422284,0.34118852,0.5635365783667378
9386,1,0.272215,0.34028026,0.5588785171271703
9561,1,0.2382346,0.33980295,0.5606698878990347
9350,1,0.04234769,0.3393255,0.5888515556154543
8977,1,0.1388106,0.33922926,0.5715677561024056
29,1,0.026884727,0.3388806,0.4580036390507132
9309,1,0.064537406,0.33800432,0.5597165668990458
101,1,0.034337938,0.3378797,0.4677959096948037
340,1,0.012464375,0.33765167,0.4753567282313736
7416,1,0.4115444,0.3369822,0.5533983032904464
564,1,0.037258774,0.33023232,0.43114953073370244
565,1,0.037258774,0.33023232,0.43114953073370244
8225,1,0.16796395,0.32946804,0.5773814113166736
146,1,0.02122734,0.32848,0.4641212474816123
9326,1,0.043882083,0.3283321,0.5875523823374471
403,1,0.039630868,0.32758835,0.430797358475667
8,1,0.0338389,0.3275811,0.46850884492331246
69,1,0.030659612,0.32038182,0.46551935021160906
9407,1,0.25883013,0.31974268,0.5536761465994272
9487,1,0.27464908,0.31837124,0.5517802039559538
9365,1,0.042335615,0.31606534,0.5766516893196549
9266,1,0.047025524,0.31603727,0.5617937234572719
9279,1,0.044002116,0.31534815,0.5893455048523437
9285,1,0.053355128,0.31386197,0.574948433618865
9294,1,0.048300706,0.31229863,0.5864871933288127
7771,1,0.2750497,0.31196558,0.5730116354847131
64,1,0.03682978,0.3115097,0.4399393377580398
186,1,0.040908445,0.3107785,0.4541171283860133
173,1,0.025263073,0.31069076,0.4661752599533467
332,1,0.027257513,0.3104907,0.45060095983254705
741,1,0.039072126,0.31017783,0.445440053770348
134,1,0.02060035,0.3077163,0.48814934697979273
46,1,0.022406,0.3076188,0.4617643901948253
455,1,0.040102296,0.30559865,0.44628880734748166
7914,1,0.17821032,0.30479667,0.5723157076639613
9475,1,0.24594018,0.30469552,0.5520763631531033
5643,1,0.58793676,0.30433452,0.5569755375629992
351,1,0.035927832,0.30390364,0.446264617398237
323,1,0.031354867,0.30381504,0.46649161665529915
312,1,0.03438497,0.3030361,0.4851806731435979
9360,1,0.04786825,0.30186266,0.5652412789904181
9302,1,0.050300695,0.300034,0.5713403568582195
3,1,0.03351833,0.29945707,0.45559726225519503
9216,1,0.05131364,0.29927537,0.5862449885361922
7926,1,0.20117128,0.29872617,0.5738044990649391
8485,1,0.19154634,0.2967073,0.5762368775229272
2638,1,0.16602573,0.2964874,0.5759407231460554
9405,1,0.071593456,0.29583776,0.5572597262817289
9283,1,0.04875859,0.29381475,0.5797113688010891
9532,1,0.25486338,0.2915259,0.5536629475921889
9318,1,0.049441684,0.29101977,0.5577188154264121
184,1,0.0335277,0.28994086,0.4634818617518629
157,1,0.03558176,0.28958657,0.4443067401239804
9238,1,0.060325533,0.28835055,0.566743340363201
9658,1,0.2639544,0.28730506,0.5770784695494374
9323,1,0.060185708,0.28728023,0.5778893231685911
459,1,0.014874931,0.28687727,0.4852429744533479
9415,1,0.058602378,0.2841704,0.5600297494674609
450,1,0.0301676,0.28353038,0.4388694774497049
8010,1,0.46623436,0.28177664,0.5508904257880283
9319,1,0.04279632,0.2808579,0.5888515556154543
8872,1,0.20279658,0.27963275,0.5668992380473913
9305,1,0.046863526,0.2789315,0.5817678575478559
9328,1,0.05490105,0.27837613,0.5842264633862853
9334,1,0.04456392,0.27804512,0.5874223964691337
334,1,0.040231474,0.27756304,0.4707776587197954
8385,1,0.18415418,0.277275,0.5757505391692966
