row,votes,corr_to_median,pca_resid,iso_score
1198,1,0.04115332,0.5269387,0.4468478290443267
1199,1,0.04115332,0.5269387,0.4468478290443267
3052,1,0.06873044,0.5259827,0.5707522486958638
7649,1,0.11457714,0.5247673,0.551782073682008
9024,1,0.07039671,0.52289665,0.5656662287691283
5712,1,0.11315304,0.5206993,0.5496603811990727
2206,1,0.09678735,0.52064073,0.5560489494849278
2063,1,0.11034739,0.52005297,0.5619653990068084
9057,1,0.110971436,0.5179719,0.5511763623656941
3472,1,0.106022865,0.51649433,0.5618481101715446
190,1,0.01596665,0.5159104,0.48069028195695296
68,1,0.028224265,0.5143815,0.4797242424997171
9320,1,0.057647645,0.51171374,0.5538163762002846
536,1,0.019938257,0.51078624,0.44631549343167176
537,1,0.019938257,0.51078624,0.44631549343167176
9010,1,0.4658089,0.51001316,0.5845303422437368
3623,1,0.11408475,0.5081929,0.5632761014639693
7977,1,0.07356801,0.50769484,0.5707819004735495
506,1,0.039934784,0.5063615,0.4461209105764605
507,1,0.039934784,0.5063615,0.4461209105764605
601,1,0.0087755,0.5024187,0.45873672042632596
602,1,0.0087755,0.5024187,0.45873672042632596
8606,1,0.1191772,0.50067866,0.5577335955415849
98,1,0.034781918,0.49302542,0.4396211650493287
9504,1,0.13442692,0.49104238,0.5748417242726235
191,1,0.04014217,0.48846006,0.4569947822591086
102,1,0.03007185,0.4878864,0.4791369196785322
5987,1,0.07403289,0.48720306,0.5625740703340305
391,1,0.023530643,0.48657307,0.47145606837952797
111,1,0.014976169,0.48329785,0.47875553590721154
1338,1,0.09070516,0.4820192,0.5518174880480937
9303,1,0.062005267,0.4773734,0.5696956041380818
8422,1,0.1115831,0.4765378,0.551292689472413
147,1,0.027563881,0.4728931,0.4818368587145762
174,1,0.022362964,0.4720642,0.45226016561016236
4,1,0.040045075,0.46979237,0.4261760170414971
429,1,0.040119074,0.46334562,0.46574064948296306
224,1,0.036327075,0.46157038,0.42477064400806336
8669,1,0.1265125,0.46028218,0.5524954852456422
97,1,0.025485782,0.45819333,0.4707072606712928
30,1,0.024264846,0.4578303,0.4625268150000616
331,1,0.024950158,0.45557484,0.4701205328258147
1483,1,0.14633124,0.45530388,0.5544519301932914
106,1,0.040310428,0.45466903,0.46362155847867675
8438,1,0.12344062,0.4533143,0.5560912898110415
8489,1,0.13046521,0.45295334,0.5569473512271587
9138,1,0.12376137,0.45139432,0.5548185830952433
9002,1,0.09894845,0.45016715,0.5596975146820296
9290,1,0.05369307,0.44487715,0.56768090229011
9188,1,0.09379548,0.44292375,0.5693967853110125
1915,1,0.13034165,0.44175875,0.5552096901974226
214,1,0.040541936,0.4348511,0.46272791342122843
7351,1,0.14706743,0.43398026,0.5620777986939022
6859,1,0.12753679,0.43066886,0.5631521693684246
8277,1,0.10437639,0.42906588,0.5671550921036316
587,1,0.02173925,0.4276042,0.4573533340623799
573,1,0.022318874,0.42405722,0.42334054304623475
574,1,0.022318874,0.42405722,0.42334054304623475
9568,1,0.18044543,0.42399168,0.5762701159641345
95,1,0.03564445,0.42219713,0.4405637339684237
6403,1,0.08654192,0.42194355,0.5623161358932391
815,1,0.52131283,0.42075047,0.5703815252446892
206,1,0.0312071,0.4206224,0.43640055278700296
9555,1,0.18989867,0.42002118,0.556711383549138
152,1,0.025274614,0.41619602,0.4828161172321992
488,1,0.035131074,0.41506556,0.47745735093197106
8205,1,0.13109694,0.41065982,0.5500491251576854
239,1,0.029712945,0.40931186,0.45857726296352425
48,1,0.03419518,0.4083358,0.44882581447160375
218,1,0.03192807,0.40646943,0.47257329762863615
377,1,0.03348151,0.40299428,0.4428936920437863
352,1,0.025441801,0.40285072,0.4802392152588933
73,1,0.039809186,0.40270486,0.4593165674962213
335,1,0.038678892,0.40090516,0.46414431667582345
50,1,0.021315437,0.3995144,0.4784927556508217
45,1,0.025423774,0.3991191,0.467727468483394
1022,1,0.32888427,0.39789754,0.5705617716269205
136,1,0.033010557,0.39638862,0.4758849135171667
1580,1,0.11083238,0.39452437,0.5562118251362786
379,1,0.04024496,0.3904633,0.4528785710797908
72,1,0.039601736,0.3891626,0.4613052816309129
558,1,0.04161183,0.38774794,0.48094503019217555
9589,1,0.20879525,0.38403875,0.5546734522284912
9384,1,0.020716889,0.381937,0.4591068328464052
