corpus_row,acqu_SW,proc_OFFSET,source
221,11.9877539984414,10.8062849632139,serum
222,11.9877540426485,,workbench
223,11.9877540426485,,workbench
224,11.9877540426485,,workbench
225,11.9877540426485,,workbench
226,20.0306216932426,14.6939582824394,serum
227,20.0306216932426,14.6940412515164,serum
228,11.9877539936104,10.8067778257521,serum
229,11.9877539936104,10.8067778257521,serum
230,11.9877540426485,,workbench
231,11.9877540426485,,workbench
232,20.0306216932426,14.6942033764333,serum
233,11.9877539999758,10.8064714927631,serum
234,11.9877539999758,10.8064714927631,serum
235,11.9877540426485,,workbench
236,11.9877539955164,10.805826328169,serum
237,11.9877539955164,10.805826328169,serum
238,20.0306216932426,14.6933794024877,serum
239,11.9877540426485,,workbench
240,11.9877540426485,,workbench
241,11.9877540426485,,workbench
242,11.9877540426485,,workbench
243,11.9877540426485,,workbench
244,11.9877539967631,10.8069473887014,serum
245,11.9877539967631,10.8069473887014,serum
246,20.0306216932426,14.6930427549916,serum
247,11.9877540426485,,workbench
248,11.9877540426485,,workbench
249,11.9877539816946,10.8095969400976,serum
250,11.9877539816946,10.8095969400976,serum
251,11.9877539993764,10.8062701588238,serum
252,11.9877539993764,10.8062701588238,serum
253,11.9877539401379,10.8126536902318,serum
254,11.9877539401379,10.8126536902318,serum
255,11.9877540426485,,workbench
256,11.9877540426485,,workbench
257,20.0306216932426,14.6934709544746,serum
258,11.9877540426485,,workbench
259,11.9877539412528,10.8133020012423,serum
260,11.9877539412528,10.8133020012423,serum
261,11.987753982258,10.8098717638688,serum
262,11.987753982258,10.8098717638688,serum
263,11.9877539826296,10.8081742602117,serum
264,11.9877539826296,10.8081742602117,serum
265,20.0306216932426,14.6942176822305,serum
266,11.9877539823779,10.8096683742156,serum
267,11.9877539823779,10.8096683742156,serum
268,11.9877540426485,,workbench
269,20.0306216932426,14.6962337492411,serum
270,11.9877540426485,,workbench
271,11.987753994006,10.8155003216238,serum
272,11.987753994006,10.8155003216238,serum
273,20.0306216932426,14.6941184992218,serum
274,20.0306216932426,14.6937017441867,serum
275,20.0306216932426,14.6942186356346,serum
276,11.9877540003032,10.8084294386628,serum
277,11.9877540003032,10.8084294386628,serum
278,11.9877539839723,10.8109057529429,serum
279,11.9877539839723,10.8109057529429,serum
280,11.9877539826656,10.8090067906652,serum
281,11.9877539826656,10.8090067906652,serum
282,11.9877540426485,,workbench
283,20.0306216932426,14.6945428854685,serum
284,20.0306216932426,14.6947965621832,serum
285,11.9877540426485,,workbench
286,11.9877540426485,,workbench
287,20.0306216932426,14.6945724489514,serum
288,20.0306216932426,14.6938333507008,serum
289,11.9877540426485,,workbench
290,11.9877540011746,10.8086002392457,serum
291,11.9877540011746,10.8086002392457,serum
292,11.9877540426485,,workbench
293,11.9877540426485,,workbench
294,11.9877539816466,10.8090438305818,serum
295,11.9877539816466,10.8090438305818,serum
296,20.0306216932426,14.6952552800703,serum
297,11.9877540426485,,workbench
298,11.9877540426485,,workbench
299,20.0306216932426,14.6946496964675,serum
300,11.9877540426485,,workbench
301,11.9877540426485,,workbench
302,11.9877540426485,,workbench
303,20.0306216932426,14.6953716273835,serum
304,20.0306216932426,14.6939077383836,serum
305,20.0306216932426,14.6935567850899,serum
306,20.0306216932426,14.6952209467252,serum
