family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
masking,mask_50_frozen,37,0.5945945945945946,0.4782608695652174,0.3728813559322034,0.46358222629409074,0.7457627118644068,1,14,0.6128524979454245,0.6111111111111112,0.9565217391304348,0.5093167701863355,0,22
masking,mask_50_unfreeze_last_1,37,0.5945945945945946,0.4782608695652174,0.3728813559322034,0.46358222629409074,0.7457627118644068,1,14,0.638483718149785,0.6111111111111112,0.9565217391304348,0.5093167701863354,0,22
masking,mask_50_unfreeze_last_2,37,0.6486486486486487,0.5496894409937888,0.5036119711042312,0.568878475999219,0.7719298245614035,1,12,0.6430221309548704,0.6470588235294118,0.9565217391304348,0.5652173913043479,2,22
masking,mask_50_unfreeze_last_3,37,0.6756756756756757,0.5993788819875776,0.5888888888888889,0.6348348348348349,0.7777777777777778,2,10,0.7630762736373901,0.6774193548387096,0.9130434782608695,0.658385093167702,4,21
jigsaw,jigsaw_bin_1024_frozen,37,0.6486486486486487,0.5916149068322981,0.5899403239556692,0.6276813898297273,0.7450980392156863,4,9,0.6961450761411384,0.6785714285714286,0.8260869565217391,0.5993788819875776,5,19
jigsaw,jigsaw_bin_1024_unfreeze_last_1,37,0.6756756756756757,0.6273291925465838,0.63,0.6616216216216216,0.76,4,8,0.7669965940837585,0.7037037037037037,0.8260869565217391,0.639751552795031,6,19
jigsaw,jigsaw_bin_1024_unfreeze_last_2,37,0.7027027027027027,0.6630434782608696,0.6677551020408163,0.6939658025372311,0.7755102040816326,4,7,0.7207741750704333,0.7307692307692307,0.8260869565217391,0.6583850931677019,7,19
jigsaw,jigsaw_bin_1024_unfreeze_last_3,37,0.7027027027027027,0.6490683229813664,0.6530264279624893,0.6849611760097694,0.7843137254901961,3,8,0.7204342189968929,0.7142857142857143,0.8695652173913043,0.6677018633540373,6,20
jigsaw,jigsaw_bin_2048_frozen,37,0.6756756756756757,0.5993788819875776,0.5888888888888889,0.6348348348348349,0.7777777777777778,2,10,0.8568133374955347,0.6774193548387096,0.9130434782608695,0.7546583850931676,4,21
jigsaw,jigsaw_bin_2048_unfreeze_last_1,37,0.7027027027027027,0.6490683229813664,0.6530264279624893,0.6849611760097694,0.7843137254901961,3,8,0.8911904899363534,0.7142857142857143,0.8695652173913043,0.8012422360248448,6,20
jigsaw,jigsaw_bin_2048_unfreeze_last_2,37,0.7837837837837838,0.7422360248447204,0.7533333333333333,0.7744144144144144,0.84,2,6,0.8949498336334295,0.7777777777777778,0.9130434782608695,0.8136645962732918,8,21
jigsaw,jigsaw_bin_2048_unfreeze_last_3,37,0.7567567567567568,0.7204968944099379,0.7281632653061225,0.7496083838940982,0.8163265306122449,3,6,0.8989795672574894,0.7692307692307693,0.8695652173913043,0.8043478260869564,8,20
jigsaw,jigsaw_bin_256_frozen,37,0.5405405405405406,0.4767080745341615,0.46376811594202894,0.5131218174696435,0.6666666666666666,6,11,0.7853235579641753,0.6071428571428571,0.7391304347826086,0.6180124223602484,3,17
jigsaw,jigsaw_bin_256_unfreeze_last_1,37,0.6486486486486487,0.5916149068322981,0.5899403239556692,0.6276813898297273,0.7450980392156863,4,9,0.8021638031063416,0.6785714285714286,0.8260869565217391,0.6490683229813664,5,19
jigsaw,jigsaw_bin_256_unfreeze_last_2,37,0.7567567567567568,0.6925465838509317,0.7008086253369272,0.7322794492605813,0.8301886792452831,1,8,0.8315774669521119,0.7333333333333333,0.9565217391304348,0.7267080745341615,6,22
jigsaw,jigsaw_bin_256_unfreeze_last_3,37,0.6756756756756757,0.5993788819875776,0.5888888888888889,0.6348348348348349,0.7777777777777778,2,10,0.7931590882352273,0.6774193548387096,0.9130434782608695,0.6832298136645963,4,21
jigsaw,jigsaw_bin_512_frozen,37,0.7027027027027027,0.6909937888198758,0.6881226053639846,0.7045252148700424,0.7555555555555555,6,5,0.8366582115354906,0.7727272727272727,0.7391304347826086,0.7422360248447205,9,17
jigsaw,jigsaw_bin_512_unfreeze_last_1,37,0.7027027027027027,0.6770186335403727,0.6792750197005516,0.7003599344024876,0.7659574468085106,5,6,0.837842484923503,0.75,0.782608695652174,0.7484472049689441,8,18
jigsaw,jigsaw_bin_512_unfreeze_last_2,37,0.7297297297297297,0.6987577639751552,0.703525641025641,0.72496534996535,0.7916666666666666,4,6,0.8560137594844589,0.76,0.8260869565217391,0.7919254658385093,8,19
jigsaw,jigsaw_bin_512_unfreeze_last_3,37,0.7567567567567568,0.734472049689441,0.7375886524822695,0.754839946329308,0.8085106382978723,4,5,0.8720817649838839,0.7916666666666666,0.8260869565217391,0.8012422360248448,9,19
jigsaw,jigsaw_multibin_frozen,37,0.7027027027027027,0.6490683229813664,0.6530264279624893,0.6849611760097694,0.7843137254901961,3,8,0.7857197053035043,0.7142857142857143,0.8695652173913043,0.6987577639751552,6,20
jigsaw,jigsaw_multibin_unfreeze_last_1,37,0.7297297297297297,0.6847826086956521,0.6916666666666667,0.7180180180180181,0.8,3,7,0.7745545408365101,0.7407407407407407,0.8695652173913043,0.6832298136645962,7,20
jigsaw,jigsaw_multibin_unfreeze_last_2,37,0.7297297297297297,0.6847826086956521,0.6916666666666667,0.7180180180180181,0.8,3,7,0.806596948124664,0.7407407407407407,0.8695652173913043,0.7080745341614907,7,20
jigsaw,jigsaw_multibin_unfreeze_last_3,37,0.7837837837837838,0.7562111801242236,0.7628205128205128,0.7799722799722799,0.8333333333333334,3,5,0.7263424481001601,0.8,0.8695652173913043,0.6770186335403727,9,20
joint_ssl,joint_ssl_frozen,37,0.7297297297297297,0.6847826086956521,0.6916666666666667,0.7180180180180181,0.8,3,7,0.7496799631319871,0.7407407407407407,0.8695652173913043,0.6956521739130435,7,20
joint_ssl,joint_ssl_unfreeze_last_1,37,0.7027027027027027,0.6630434782608696,0.6677551020408163,0.6939658025372311,0.7755102040816326,4,7,0.7449041446417329,0.7307692307692307,0.8260869565217391,0.7080745341614907,7,19
joint_ssl,joint_ssl_unfreeze_last_2,37,0.6756756756756757,0.6133540372670807,0.6118881118881119,0.6501606501606502,0.7692307692307693,3,9,0.7186495905655889,0.6896551724137931,0.8695652173913043,0.6956521739130435,5,20
joint_ssl,joint_ssl_unfreeze_last_3,37,0.7297297297297297,0.670807453416149,0.6765734265734266,0.7084672084672085,0.8076923076923077,2,8,0.7017059538428497,0.7241379310344828,0.9130434782608695,0.6801242236024845,6,21
