peak_id,point_index,n_detected,detection_rate,mean,std,ks_probe_n,ks_reference_n,ks_saturation_n,ks_saturation_ratio,ks_final_mean,relative_sem_at_full_n,n_needed_for_5pct_sem
33,81470,3073,0.3177869700103413,0.0005994967898551376,0.0009165222460106523,1537,1536,,,0.059633637632834524,0.027981264269239012,963
34,82309,4428,0.4579110651499483,0.0004760770656960561,0.0014017767295273294,2214,2214,350,0.15808491418247517,0.017163504968383016,0.04548634360294623,3665
35,82908,6775,0.7006204756980352,0.000595185736603151,0.000403153741855561,3387,3388,446,0.13167995276055505,0.027307951194737567,0.0081139286291719,179
36,83566,6052,0.6258531540847984,0.0006784357316650602,0.0002569998535780559,3026,3026,582,0.19233311302048908,0.03734302709847984,0.004766255254544111,55
37,83728,591,0.061116856256463285,0.0007732595418275748,0.00033605492694166255,295,296,295,1.0,0.048728813559322036,0.016130209206818437,62
38,86481,3610,0.3733195449844881,0.0003961559316801814,0.00017044917525259077,1805,1805,311,0.17229916897506925,0.021606648199445983,0.007701560720138402,86
39,87170,8784,0.9083764219234747,0.0019603698633830027,0.002414122499122893,4392,4392,362,0.08242258652094718,0.025956284153005466,0.013599002048548355,650
40,87250,8659,0.8954498448810755,0.0020308375244495348,0.0024941546017918843,4329,4330,514,0.11873411873411874,0.029840055013265178,0.010565418060112923,387
41,88153,5218,0.539607032057911,0.002671406013393455,0.0009921120932671328,2609,2609,529,0.20275967803756229,0.04216174779609046,0.005353227381438012,60
42,88228,5930,0.6132368148914168,0.002555827122767965,0.0011813770402433858,2965,2965,414,0.13962900505902193,0.025632377740303542,0.005712311917886888,78
43,88303,1211,0.1252326783867632,0.0007725632778128728,0.0008040515811842704,605,606,,,0.05415814308703597,0.03499935784535291,594
44,88396,780,0.08066184074457083,0.0009909928137971115,0.0015581482157064348,390,390,324,0.8307692307692308,0.04358974358974359,0.05626302170978655,988
45,88471,3780,0.390899689762151,0.0014791106488148268,0.0007675389311876741,1890,1890,578,0.3058201058201058,0.03333333333333333,0.008333541410313753,106
46,88600,2695,0.27869700103412615,0.000982443325326477,0.0007314815637507113,1347,1348,346,0.25686711210096513,0.027272386818493234,0.015382895785836046,256
47,88669,1126,0.11644260599793174,0.000497406699477647,0.0002560894891483103,563,563,456,0.8099467140319716,0.04262877442273535,0.014421264985953844,94
48,88737,705,0.07290589451913133,0.0010378098424870018,0.0015778076941366152,353,352,248,0.7025495750708215,0.034935938707185164,0.05812898870762477,953
49,90038,7705,0.796794208893485,0.00036197541234036867,0.0006018478780643339,3853,3852,339,0.08798338956657151,0.01620205857042792,0.01912470887707191,1128
50,90115,6255,0.6468459152016546,0.00028517234672062594,0.00010646151010713348,3127,3128,306,0.09785737128237927,0.01638715927688632,0.004375214569540077,48
51,90249,532,0.05501551189245088,0.0009049996087078517,0.0015143457698903494,266,266,,,0.08646616541353383,0.08847684774930174,1666
52,90381,5673,0.5866597724922441,0.00044677896672695077,0.0003921417808672791,2837,2836,403,0.14205146281283046,0.022682585002831313,0.01400413129618271,446
53,90459,7354,0.7604963805584282,0.000781103309932371,0.0008216163789634447,3677,3677,332,0.09029099809627414,0.018221376121838457,0.01246779965214063,458
54,90608,3826,0.3956566701137539,0.0004413067339898389,0.000505066428652162,1913,1913,322,0.16832200731834815,0.017773131207527444,0.01674891307663742,430
55,90676,2238,0.23143743536711478,0.0002928779744644915,6.941018837149681e-05,1119,1119,307,0.2743521000893655,0.0160857908847185,0.004967014212204408,23
56,90754,267,0.027611168562564632,0.00030427330493803693,0.00010309442907595283,133,134,,,0.1392099652115363,0.019488560732027118,41
57,91152,4192,0.43350568769389863,0.0008835750160328228,0.00029630115469682545,2096,2096,459,0.21898854961832062,0.033396946564885496,0.004798197468118812,39
58,91303,1086,0.11230610134436401,0.0006218743508727301,0.00030384470127599653,543,543,543,1.0,0.049723756906077346,0.01404276112006508,86
59,97066,5064,0.5236814891416753,0.0017418898035120706,0.001368899102636877,2532,2532,519,0.20497630331753555,0.03593996840442338,0.010522084785690262,225
