dataset,arm,patch_size,tokens,nhead,nhead_recorded,pooling,embed_dim,balanced_accuracy,roc_auc,n_samples
brc_t2d_diabetes,exp8_common9506,1024,128,4,4.0,flatten,16384,0.750668449197861,0.8689839572192514,78
brc_t2d_diabetes,exp8_v3rand9506_control,1024,128,4,4.0,mean_pool,128,0.6497326203208555,0.7266042780748664,78
brc_t2d_diabetes,exp8_v3rand9506_control,1024,128,4,4.0,flatten,16384,0.750668449197861,0.7807486631016042,78
mtbls563,ps1024_nhead8_legacy,1024,128,8,,mean_pool,128,0.6072314781992202,0.7459984077090732,113
mtbls563,ps1024_nhead8_legacy,1024,128,8,,flatten,16384,0.6104513765804088,0.800433196691127,113
mtbls563,ps1024_nhead4_true,1024,128,4,,mean_pool,128,0.587793926503604,0.7417416860325897,113
mtbls563,ps1024_nhead4_true,1024,128,4,,flatten,16384,0.6175558312655087,0.8177561291756424,113
mtbls563,ps256,256,512,4,4.0,mean_pool,128,0.5058489897199575,0.6977559995124439,113
mtbls563,ps256,256,512,4,4.0,flatten,65536,0.5758891645988421,0.7486844441972876,113
mtbls563,ps128,128,1024,4,4.0,mean_pool,128,0.46282346685572495,0.6519772836195947,113
mtbls563,ps128,128,1024,4,4.0,flatten,131072,0.581841545551223,0.7540586858547836,113
mtbls563,ps2048,2048,64,4,4.0,mean_pool,128,0.5243707904998227,0.6900862925236034,113
mtbls563,ps2048,2048,64,4,4.0,flatten,8192,0.5550484461774784,0.7742746717914891,113
mtbls563,ps1024_d256_L6,1024,128,8,8.0,mean_pool,256,0.5502481389578163,0.733892430732344,113
mtbls563,ps1024_d256_L6,1024,128,8,8.0,flatten,32768,0.5514002126905353,0.7727696932154603,113
mtbls563,exp7_D_baseline_v4,1024,128,4,4.0,mean_pool,128,0.5520796407893181,0.7533531071803165,113
mtbls563,exp7_D_baseline_v4,1024,128,4,4.0,flatten,16384,0.6283085194375517,0.7886346781471304,113
mtbls563,exp7_A_blk8,1024,128,4,4.0,mean_pool,128,0.5431436842727165,0.7134399447967085,113
mtbls563,exp7_A_blk8,1024,128,4,4.0,flatten,16384,0.5562005199101974,0.7561730465937965,113
mtbls563,exp7_B_pk025,1024,128,4,4.0,mean_pool,128,0.598546614675647,0.7870418942491605,113
mtbls563,exp7_B_pk025,1024,128,4,4.0,flatten,16384,0.5955630391114263,0.7943606491011894,113
mtbls563,exp7_C_blk8_pk025,1024,128,4,4.0,mean_pool,128,0.44771357674583473,0.6789926831547032,113
mtbls563,exp7_C_blk8_pk025,1024,128,4,4.0,flatten,16384,0.5937463074559849,0.7746275005751375,113
mtbls563,exp7_D_v4_seed101,1024,128,4,4.0,mean_pool,128,0.489129150419473,0.6688013654104917,113
mtbls563,exp7_D_v4_seed101,1024,128,4,4.0,flatten,16384,0.5504844617747843,0.7750627869673279,113
mtbls563,exp7_D_v4_seed202,1024,128,4,4.0,mean_pool,128,0.5642207255110481,0.7503446498637633,113
mtbls563,exp7_D_v4_seed202,1024,128,4,4.0,flatten,16384,0.6331088266572138,0.7828475565327665,113
mtbls563,exp7_v3_pk025_r1,1024,128,4,4.0,mean_pool,128,0.5642207255110481,0.7199040429478686,113
mtbls563,exp7_v3_pk025_r1,1024,128,4,4.0,flatten,16384,0.5948983811887038,0.7771517769056396,113
mtbls563,exp7_v3_pk025_r2,1024,128,4,4.0,mean_pool,128,0.5642207255110481,0.7199040429478686,113
mtbls563,exp7_v3_pk025_r2,1024,128,4,4.0,flatten,16384,0.5948983811887038,0.7771517769056396,113
mtbls563,exp8_common9506,1024,128,4,4.0,mean_pool,128,0.549583481035094,0.7313606151240964,113
mtbls563,exp8_common9506,1024,128,4,4.0,flatten,16384,0.5910138248847926,0.778356604660721,113
mtbls563,exp8_v3rand9506_control,1024,128,4,4.0,mean_pool,128,0.5424790263499941,0.7388425879076953,113
mtbls563,exp8_v3rand9506_control,1024,128,4,4.0,flatten,16384,0.6184715821812596,0.7765179068006628,113
mtbls326,ps1024_nhead8_legacy,1024,128,8,,mean_pool,128,0.9444444444444444,1.0,42
mtbls326,ps1024_nhead8_legacy,1024,128,8,,flatten,16384,1.0,1.0,42
mtbls326,ps1024_nhead4_true,1024,128,4,,mean_pool,128,0.9481481481481482,0.9950617283950618,42
mtbls326,ps1024_nhead4_true,1024,128,4,,flatten,16384,1.0,1.0,42
mtbls326,ps256,256,512,4,4.0,mean_pool,128,0.874074074074074,0.8962962962962964,42
mtbls326,ps256,256,512,4,4.0,flatten,65536,0.9074074074074074,0.9481481481481482,42
mtbls326,ps128,128,1024,4,4.0,mean_pool,128,0.9111111111111111,0.9654320987654321,42
mtbls326,ps128,128,1024,4,4.0,flatten,131072,0.9111111111111111,0.9851851851851853,42
mtbls326,ps2048,2048,64,4,4.0,mean_pool,128,0.9296296296296296,0.962962962962963,42
mtbls326,ps2048,2048,64,4,4.0,flatten,8192,0.9296296296296296,0.9876543209876544,42
