mask_ratio,row,predictor,r_masked,r_whole,r_masked_peak,r_masked_baseline,nn_row_gap
0.25,5130,pca50_from_visible,0.9403482675552368,0.9872349500656128,0.9242374897003174,0.6554025411605835,
0.25,5130,nn_copy,0.8741642236709595,0.9474114179611206,0.7226061820983887,0.9471272826194763,2988.0
0.25,5327,dnn,0.974259614944458,0.9978103041648865,0.9662571549415588,0.7947787046432495,
0.25,5327,corpus_mean,0.4724685549736023,0.5752617120742798,0.4556178152561188,0.6940975785255432,
0.25,5327,linear_interp,0.694223682021868,0.9536112826386026,0.6788829356350145,0.5962300402999912,
0.25,5327,pca50_from_visible,0.6339135766029358,0.9633264541625977,0.6117404699325562,0.23724964261054993,
0.25,5327,nn_copy,0.9884389638900757,0.9866020679473877,0.9821694493293762,0.9646802544593811,38.0
0.25,5525,dnn,0.9748266935348511,0.9989960789680481,0.9653342962265015,0.8438197374343872,
0.25,5525,corpus_mean,0.6781320571899414,0.6956464052200317,0.7662566304206848,0.4689924418926239,
0.25,5525,linear_interp,0.40096706851493946,0.9187103998486316,0.47371018820073096,0.2754818144625948,
0.25,5525,pca50_from_visible,0.9757400155067444,0.9959377646446228,0.9678961634635925,0.8305482864379883,
0.25,5525,nn_copy,0.9944148659706116,0.9898202419281006,0.9896203279495239,0.9799908399581909,4380.0
0.25,5722,dnn,0.9522429704666138,0.9987565279006958,0.8874597549438477,0.8164176344871521,
0.25,5722,corpus_mean,0.6564568877220154,0.5453695058822632,0.4848937690258026,0.6892387866973877,
0.25,5722,linear_interp,0.4788809714403649,0.9938576196939857,-0.3712583098538513,0.8103750901499572,
0.25,5722,pca50_from_visible,0.975203275680542,0.9883978366851807,0.9699356555938721,0.6007607579231262,
0.25,5722,nn_copy,0.9667901992797852,0.9870187640190125,0.9073193073272705,0.9762519598007202,1672.0
0.25,5919,dnn,0.9721031785011292,0.9943997263908386,0.8818404078483582,0.9098886251449585,
0.25,5919,corpus_mean,0.7513545155525208,0.556396484375,0.7196127772331238,0.4978225827217102,
0.25,5919,linear_interp,0.6096839627310364,0.9474555626416337,0.08457416819457748,0.5591859741612789,
0.25,5919,pca50_from_visible,0.9106186032295227,0.9733752608299255,0.9051035642623901,0.3009907007217407,
0.25,5919,nn_copy,0.9869986772537231,0.9926376938819885,0.9433473944664001,0.9865017533302307,887.0
0.25,6117,dnn,0.978753387928009,0.9978957176208496,0.9595862030982971,0.8431674242019653,
0.25,6117,corpus_mean,0.6432614922523499,0.5929709672927856,0.799362301826477,0.495900958776474,
0.25,6117,linear_interp,0.6868063822511349,0.9479769809714006,0.6435900380833474,0.39330634504546313,
0.25,6117,pca50_from_visible,0.6953690052032471,0.963667094707489,0.5273771286010742,0.5292386412620544,
0.25,6117,nn_copy,0.9948240518569946,0.9881724119186401,0.9893631339073181,0.9868561029434204,1699.0
0.25,6314,dnn,0.9513572454452515,0.9655957818031311,0.9432459473609924,0.6596128940582275,
0.25,6314,corpus_mean,0.3366560935974121,0.49368345737457275,0.4751679301261902,0.5764739513397217,
0.25,6314,linear_interp,0.47658059158463517,0.6796919574859587,0.4535551386405483,0.4052871812533019,
0.25,6314,pca50_from_visible,0.9545400738716125,0.9645549058914185,0.9696730971336365,0.32864484190940857,
0.25,6314,nn_copy,0.6756024360656738,0.7725441455841064,0.6151053309440613,0.9740658402442932,540.0
0.25,6511,dnn,0.9422448873519897,0.9667830467224121,0.9232697486877441,0.908872663974762,
0.25,6511,corpus_mean,0.7069098949432373,0.6028628349304199,0.7874923944473267,0.6318632364273071,
0.25,6511,linear_interp,0.28204227756092765,0.673862995687823,-0.1765469235175766,0.774425917630599,
0.25,6511,pca50_from_visible,0.6410335898399353,0.7880856990814209,0.47843679785728455,0.6067066192626953,
0.25,6511,nn_copy,0.8175849914550781,0.8920143246650696,0.7374699711799622,0.9622086882591248,868.0
0.25,6709,dnn,0.9664393067359924,0.9958173632621765,0.9291057586669922,0.9315300583839417,
0.25,6709,corpus_mean,0.5970308780670166,0.7770452499389648,0.0785636231303215,0.709634006023407,
0.25,6709,linear_interp,0.5208692514898448,0.9130695920560771,0.4772699803091998,0.4517503421811047,
0.25,6709,pca50_from_visible,0.924149751663208,0.9876042604446411,0.8269204497337341,0.8929011821746826,
0.25,6709,nn_copy,0.9471468925476074,0.9668278098106384,0.8844488263130188,0.9049516320228577,1892.0
0.25,6906,dnn,0.9599382877349854,0.9941962361335754,0.9219297766685486,0.861422598361969,
0.25,6906,corpus_mean,0.5667819976806641,0.5374965667724609,0.4215575158596039,0.5935388803482056,
0.25,6906,linear_interp,0.30002071326914825,0.9306863075458267,-0.3004574142494528,0.5886417344812813,
0.25,6906,pca50_from_visible,0.971086323261261,0.9860946536064148,0.953441321849823,0.8623795509338379,
0.25,6906,nn_copy,0.9682445526123047,0.9796394109725952,0.9331783652305603,0.9179092049598694,1132.0
0.25,7103,dnn,0.9259338974952698,0.9593945145606995,0.918865978717804,0.4612446427345276,
0.25,7103,corpus_mean,0.5468447208404541,0.49978822469711304,0.554043710231781,0.5152826905250549,
0.25,7103,linear_interp,0.5186107910892722,0.7764661024843845,0.49952753297164293,0.41692355145921,
0.25,7103,pca50_from_visible,0.7546811699867249,0.8195222616195679,0.7512163519859314,0.14884386956691742,
0.25,7103,nn_copy,0.7528998255729675,0.8417680263519287,0.7290144562721252,0.9513139128684998,441.0
0.25,7301,dnn,0.957265317440033,0.9977073669433594,0.900172233581543,0.8921887874603271,
0.25,7301,corpus_mean,0.662286102771759,0.6073621511459351,0.7461886405944824,0.5976517200469971,
0.25,7301,linear_interp,0.6265774002791177,0.9805444581356244,0.5389321523104198,0.4928455616397337,
0.25,7301,pca50_from_visible,0.810016930103302,0.9855368733406067,0.9401236772537231,0.504203200340271,
0.25,7301,nn_copy,0.49989184737205505,0.9170398116111755,0.9522441625595093,0.22328734397888184,1977.0
0.25,7498,dnn,0.9621373414993286,0.9928008317947388,0.9045741558074951,0.9302774667739868,
0.25,7498,corpus_mean,0.669014573097229,0.648977518081665,0.2076188027858734,0.6952276825904846,
0.25,7498,linear_interp,0.3982253636350185,0.9114850709317338,-0.1924705374118907,0.6179729425201476,
0.25,7498,pca50_from_visible,0.779173731803894,0.9377477765083313,0.610884964466095,0.44938209652900696,
0.25,7498,nn_copy,0.9309956431388855,0.9084051251411438,0.8106585144996643,0.9516386985778809,1240.0
0.25,7695,dnn,0.9720761775970459,0.9883654117584229,0.9023761749267578,0.9553602933883667,
0.25,7695,corpus_mean,0.8185674548149109,0.7399207949638367,0.3642025887966156,0.7474119067192078,
0.25,7695,linear_interp,0.2790021188092995,0.778762574209076,-0.16846640971922733,0.709693063268421,
0.25,7695,pca50_from_visible,0.9737827181816101,0.985282838344574,0.903640627861023,0.9702117443084717,
