family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
jigsaw,jigsaw_linear_probe_C1,6,11,0.45454545454545453,0.38888888888888884,0.3384615384615384,0.4083916083916084,0.30158730158730157,0.38888888888888884,0.6425925925925926,"[[1, 1, 0], [1, 4, 1], [1, 2, 0]]"
jigsaw,jigsaw_linear_probe_C1,7,11,0.6363636363636364,0.6,0.5904761904761905,0.6285714285714286,0.6,0.6,0.7972222222222222,"[[2, 0, 1], [1, 4, 0], [1, 1, 1]]"
jigsaw,jigsaw_linear_probe_C1,8,11,0.7272727272727273,0.6666666666666666,0.6777777777777777,0.7060606060606062,0.7380952380952381,0.6666666666666666,0.775,"[[2, 0, 1], [0, 5, 0], [0, 2, 1]]"
jigsaw,jigsaw_linear_probe_C1,9,11,0.6363636363636364,0.6444444444444445,0.619047619047619,0.6277056277056277,0.611111111111111,0.6444444444444445,0.8444444444444444,"[[3, 0, 0], [0, 3, 2], [1, 1, 1]]"
jigsaw,jigsaw_linear_probe_C1,10,11,0.6363636363636364,0.6,0.5904761904761905,0.6285714285714286,0.6,0.6,0.8194444444444443,"[[1, 1, 1], [0, 4, 1], [1, 0, 2]]"
joint,joint_linear_probe_C1,1,12,0.75,0.6666666666666666,0.6746031746031745,0.7202380952380952,0.8055555555555555,0.6666666666666666,0.8024691358024691,"[[1, 1, 1], [0, 6, 0], [0, 1, 2]]"
joint,joint_linear_probe_C1,2,12,0.3333333333333333,0.27777777777777773,0.29523809523809524,0.3714285714285714,0.3333333333333333,0.27777777777777773,0.558641975308642,"[[1, 0, 2], [1, 3, 2], [2, 1, 0]]"
joint,joint_linear_probe_C1,3,12,0.6666666666666666,0.7222222222222222,0.6476190476190476,0.6857142857142856,0.6888888888888888,0.7222222222222222,0.7349537037037037,"[[2, 0, 0], [1, 4, 1], [2, 0, 2]]"
joint,joint_linear_probe_C1,4,11,0.45454545454545453,0.38888888888888884,0.3757575757575758,0.46942148760330576,0.37777777777777777,0.38888888888888884,0.5481481481481482,"[[1, 0, 1], [0, 4, 2], [2, 1, 0]]"
joint,joint_linear_probe_C1,5,11,0.45454545454545453,0.4444444444444444,0.3481481481481481,0.40606060606060607,0.36507936507936506,0.4444444444444444,0.7222222222222222,"[[0, 1, 1], [1, 2, 3], [0, 0, 3]]"
joint,joint_linear_probe_C1,6,11,0.2727272727272727,0.16666666666666666,0.16666666666666666,0.2727272727272727,0.16666666666666666,0.16666666666666666,0.5564814814814815,"[[0, 1, 1], [0, 3, 3], [1, 2, 0]]"
joint,joint_linear_probe_C1,7,11,0.5454545454545454,0.5333333333333333,0.5333333333333333,0.5454545454545454,0.5333333333333333,0.5333333333333333,0.7805555555555556,"[[2, 1, 0], [0, 3, 2], [1, 1, 1]]"
joint,joint_linear_probe_C1,8,11,0.45454545454545453,0.4222222222222222,0.4222222222222222,0.45454545454545453,0.4222222222222222,0.4222222222222222,0.6833333333333332,"[[1, 1, 1], [1, 3, 1], [1, 1, 1]]"
joint,joint_linear_probe_C1,9,11,0.45454545454545453,0.5111111111111111,0.42857142857142855,0.4025974025974026,0.4444444444444444,0.5111111111111111,0.7305555555555555,"[[3, 0, 0], [2, 1, 2], [1, 1, 1]]"
joint,joint_linear_probe_C1,10,11,0.7272727272727273,0.6666666666666666,0.6585858585858585,0.7041322314049586,0.6666666666666666,0.6666666666666666,0.8666666666666667,"[[1, 1, 1], [0, 5, 0], [1, 0, 2]]"
