row,block,study,lag
322,8,unassigned,4304
323,5,unassigned,-3001
324,7,unassigned,1437
325,12,AMBIGUOUS: MTBLS147,-759
326,12,AMBIGUOUS: MTBLS147,-761
327,12,AMBIGUOUS: MTBLS147,-751
328,11,unassigned,-2879
329,8,unassigned,4284
330,8,unassigned,4284
331,2,unassigned,6913
332,25,unassigned,1513
333,11,unassigned,-2883
334,11,unassigned,-2880
335,11,unassigned,-2875
336,11,unassigned,-2879
337,10,unassigned,6995
338,10,unassigned,6995
339,7,unassigned,1457
340,11,unassigned,-2947
341,10,unassigned,7001
342,10,unassigned,7001
343,11,unassigned,-2880
344,12,AMBIGUOUS: MTBLS147,-759
345,11,unassigned,-2880
346,7,unassigned,1456
347,10,unassigned,7026
348,10,unassigned,7026
349,3,unassigned,3234
350,7,unassigned,1447
351,2,unassigned,6991
352,11,unassigned,-2876
353,4,unassigned,3328
354,12,AMBIGUOUS: MTBLS147,-753
355,8,unassigned,4299
356,8,unassigned,4299
357,3,unassigned,3280
358,11,unassigned,-2865
359,11,unassigned,-2887
360,11,unassigned,-2871
361,12,AMBIGUOUS: MTBLS147,-757
362,12,AMBIGUOUS: MTBLS147,-748
363,12,AMBIGUOUS: MTBLS147,-761
364,16,unassigned,5498
365,16,unassigned,5498
366,12,AMBIGUOUS: MTBLS147,-760
367,10,unassigned,6971
368,10,unassigned,6971
369,12,AMBIGUOUS: MTBLS147,-759
370,28,unassigned,-1653
371,11,unassigned,-2949
372,12,AMBIGUOUS: MTBLS147,-759
373,11,unassigned,-2871
374,12,AMBIGUOUS: MTBLS147,-756
375,10,unassigned,7005
376,10,unassigned,7005
377,10,unassigned,6740
378,12,AMBIGUOUS: MTBLS147,-754
379,4,unassigned,3355
380,8,unassigned,4300
381,8,unassigned,4300
382,12,AMBIGUOUS: MTBLS147,-756
383,12,AMBIGUOUS: MTBLS147,-755
384,10,unassigned,6973
385,10,unassigned,6973
386,12,AMBIGUOUS: MTBLS147,-762
387,29,unassigned,4553
388,12,AMBIGUOUS: MTBLS147,-757
389,12,AMBIGUOUS: MTBLS147,-752
390,12,AMBIGUOUS: MTBLS147,-759
391,7,unassigned,1451
392,12,AMBIGUOUS: MTBLS147,-758
393,12,AMBIGUOUS: MTBLS147,-654
394,11,unassigned,-2879
395,12,AMBIGUOUS: MTBLS147,-761
396,11,unassigned,-2887
397,10,unassigned,6966
398,10,unassigned,6966
399,12,AMBIGUOUS: MTBLS147,-750
400,12,AMBIGUOUS: MTBLS147,-761
401,12,AMBIGUOUS: MTBLS147,-763
402,12,AMBIGUOUS: MTBLS147,-759
403,10,unassigned,6801
404,16,unassigned,5502
405,16,unassigned,5502
406,16,unassigned,5545
407,16,unassigned,5545
408,11,unassigned,-2871
409,10,unassigned,6980
410,10,unassigned,6980
411,29,unassigned,4538
412,12,AMBIGUOUS: MTBLS147,-761
413,30,unassigned,1484
414,14,unassigned,-1741
415,10,unassigned,6979
416,10,unassigned,6979
417,12,AMBIGUOUS: MTBLS147,-755
418,12,AMBIGUOUS: MTBLS147,-755
419,10,unassigned,6985
420,10,unassigned,6985
421,7,unassigned,1459
422,12,AMBIGUOUS: MTBLS147,-753
423,12,AMBIGUOUS: MTBLS147,-753
424,12,AMBIGUOUS: MTBLS147,-749
425,7,unassigned,1454
426,11,unassigned,-2876
427,8,unassigned,4302
428,8,unassigned,4302
429,10,unassigned,6788
430,7,unassigned,1454
431,10,unassigned,7000
432,10,unassigned,7000
433,2,unassigned,7024
434,10,unassigned,6783
435,8,unassigned,4329
436,8,unassigned,4329
437,11,unassigned,-2871
438,12,AMBIGUOUS: MTBLS147,-762
439,8,unassigned,4292
440,8,unassigned,4292
441,12,AMBIGUOUS: MTBLS147,-755
442,12,AMBIGUOUS: MTBLS147,-759
