dataset,n_samples,family,model,fine_tune_mode,support_per_class,n_episodes,mean,std,se
Barth,37,masking,mask_metabolights,unfreeze_last_1,8,10,0.6599999999999999,0.1405895874478812,0.04445833116387234
Barth,37,masking,mask_metabolights,unfreeze_last_1,9,10,0.71,0.07332405630869103,0.023187102521790195
Barth,37,masking,mask_metabolights,unfreeze_last_1,10,10,0.6644230769230769,0.12022008226095056,0.03801692804374088
Barth,37,masking,mask_metabolights,unfreeze_last_1,11,10,0.8125,0.15372183070262954,0.048611111111111105
Barth,37,masking,mask_metabolights,unfreeze_last_1,12,10,0.6727272727272728,0.1618448508269889,0.05117983561834708
Barth,37,masking,mask_metabolights,unfreeze_last_2,2,10,0.6404761904761905,0.07685515296755915,0.024303733329813584
Barth,37,masking,mask_metabolights,unfreeze_last_2,3,10,0.6006818181818181,0.10189351695305018,0.03222155923766186
Barth,37,masking,mask_metabolights,unfreeze_last_2,4,10,0.6668421052631579,0.11200074748024763,0.0354177461678947
Barth,37,masking,mask_metabolights,unfreeze_last_2,5,10,0.6194444444444445,0.11344009737623537,0.035872908570019464
Barth,37,masking,mask_metabolights,unfreeze_last_2,6,10,0.6650735294117648,0.07569225091968622,0.023935991413118318
Barth,37,masking,mask_metabolights,unfreeze_last_2,7,10,0.6406250000000001,0.08137717894021382,0.025733723501016284
Barth,37,masking,mask_metabolights,unfreeze_last_2,8,10,0.6733333333333333,0.1385996989290016,0.043829073162924496
Barth,37,masking,mask_metabolights,unfreeze_last_2,9,10,0.6957142857142858,0.07040536982200467,0.022264132814401833
Barth,37,masking,mask_metabolights,unfreeze_last_2,10,10,0.698076923076923,0.10035685832969615,0.031735625114068106
Barth,37,masking,mask_metabolights,unfreeze_last_2,11,10,0.7833333333333334,0.13292762348894893,0.04203540541783767
Barth,37,masking,mask_metabolights,unfreeze_last_2,12,10,0.6886363636363637,0.11787547708990855,0.03727549878831074
Barth,37,masking,mask_metabolights,unfreeze_last_3,2,10,0.6589285714285715,0.08779845977536667,0.027764310794483407
Barth,37,masking,mask_metabolights,unfreeze_last_3,3,10,0.5984090909090909,0.1347422547184497,0.04260924219768709
Barth,37,masking,mask_metabolights,unfreeze_last_3,4,10,0.665,0.09164085089346173,0.02897938155392155
Barth,37,masking,mask_metabolights,unfreeze_last_3,5,10,0.6277777777777778,0.0955096070979824,0.0302027896857409
Barth,37,masking,mask_metabolights,unfreeze_last_3,6,10,0.6400735294117647,0.07096106774374639,0.022439859926774417
Barth,37,masking,mask_metabolights,unfreeze_last_3,7,10,0.6741071428571429,0.10535041678826108,0.033314726949894576
