mask_ratio,row,predictor,r_masked,r_whole,r_masked_peak,r_masked_baseline,nn_row_gap
0.25,3932,nn_copy,0.9912477135658264,0.9752606153488159,0.9695088267326355,0.9865102767944336,635.0
0.25,4128,corpus_mean,0.7728990912437439,0.7155487537384033,0.8340044617652893,0.46197572350502014,
0.25,4128,linear_interp,0.7459691916038749,0.8012294183761886,0.7534348924809965,0.22761643546904273,
0.25,4128,pca50_from_visible,0.9605990052223206,0.9499174356460571,0.9741985201835632,0.10397248715162277,
0.25,4128,nn_copy,0.9776328802108765,0.9714701175689697,0.9689316153526306,0.9754242897033691,509.0
0.25,4325,corpus_mean,0.8482502102851868,0.7485172748565674,0.6390477418899536,0.8794180154800415,
0.25,4325,linear_interp,0.5573023316212514,0.942051706435698,0.14678119304210735,0.5511979677385933,
0.25,4325,pca50_from_visible,0.3989761769771576,0.9191163778305054,0.05735960602760315,0.7733460068702698,
0.25,4325,nn_copy,0.9837937951087952,0.9671306610107422,0.9723719954490662,0.9514206051826477,3041.0
0.25,4522,corpus_mean,0.7173276543617249,0.670627772808075,0.40209871530532837,0.7657909393310547,
0.25,4522,linear_interp,0.5043771469147337,0.7810275398900396,0.36720667189046213,0.45800008151702054,
0.25,4522,pca50_from_visible,0.8535609245300293,0.9745510816574097,0.8352140784263611,0.6516013145446777,
0.25,4522,nn_copy,0.8661938905715942,0.9817579984664917,0.7941492199897766,0.7837159633636475,2036.0
0.25,4718,corpus_mean,0.9078777432441711,0.7153688669204712,0.7122102975845337,0.8835732340812683,
0.25,4718,linear_interp,0.4894988760054047,0.823796122268454,0.267092963408251,0.5342257006631206,
0.25,4718,pca50_from_visible,0.8307034373283386,0.9701989889144897,0.6401848196983337,0.8590176701545715,
0.25,4718,nn_copy,0.9756495356559753,0.9907222390174866,0.9265978932380676,0.9726344347000122,906.0
0.25,4915,corpus_mean,0.8554308414459229,0.7395751476287842,0.4380062222480774,0.8219009041786194,
0.25,4915,linear_interp,0.31470865132546455,0.7188597526898365,0.29214496188448513,0.29265211971480837,
0.25,4915,pca50_from_visible,0.8707422614097595,0.9772585034370422,0.7474419474601746,0.6942757964134216,
0.25,4915,nn_copy,0.9101619720458984,0.9722240567207336,0.8560103178024292,0.6925005316734314,1932.0
0.25,5111,corpus_mean,0.9358994960784912,0.6660242080688477,0.961936354637146,0.8277035355567932,
0.25,5111,linear_interp,0.3456036863233638,0.9922652492822392,-0.22730013510521563,0.8938406081846018,
0.25,5111,pca50_from_visible,0.9160364866256714,0.9825295805931091,0.9875150322914124,0.3312366008758545,
0.25,5111,nn_copy,0.9608046412467957,0.9779542088508606,0.9612224698066711,0.8878130316734314,1367.0
0.25,5308,corpus_mean,0.6440262198448181,0.7756208181381226,0.6662715673446655,0.5137176513671875,
0.25,5308,linear_interp,0.4949012816032662,0.9035162595293573,0.4864344957942568,0.6520331685660125,
0.25,5308,pca50_from_visible,0.8629071116447449,0.9615153670310974,0.8372666239738464,0.683067262172699,
0.25,5308,nn_copy,0.9702116250991821,0.9807524681091309,0.9646718502044678,0.9813199043273926,478.0
0.25,5505,corpus_mean,0.8310369253158569,0.816709041595459,0.6872800588607788,0.8188140988349915,
0.25,5505,linear_interp,0.4241112110446062,0.9838662520671946,-0.30671238970821085,0.8645606921474199,
0.25,5505,pca50_from_visible,0.96415114402771,0.9792863130569458,0.9458426237106323,0.9000229239463806,
0.25,5505,nn_copy,0.9910010099411011,0.9540761709213257,0.990920901298523,0.956492006778717,1250.0
0.25,5701,corpus_mean,0.9098780155181885,0.718157947063446,0.8789879679679871,0.8101875185966492,
0.25,5701,linear_interp,0.35312184552763787,0.9930525832878122,-0.2489706413819056,0.6692707338488515,
0.25,5701,pca50_from_visible,0.7875791192054749,0.9836645722389221,0.8599223494529724,0.08784370124340057,
0.25,5701,nn_copy,0.9971915483474731,0.9778724312782288,0.9949527382850647,0.9811030030250549,1957.0
0.25,5898,corpus_mean,0.7011904120445251,0.7293495535850525,0.6699026823043823,0.7035901546478271,
0.25,5898,linear_interp,0.6549534349279658,0.8046964318344594,0.6501883173725695,0.3988172882538529,
0.25,5898,pca50_from_visible,0.7870118021965027,0.8196765184402466,0.8269748091697693,0.22669532895088196,
0.25,5898,nn_copy,0.9565849304199219,0.9453811645507812,0.9353488087654114,0.8358733654022217,3551.0
0.25,6094,corpus_mean,0.846187174320221,0.8053339719772339,0.8372800350189209,0.5364891886711121,
0.25,6094,linear_interp,0.6866816435762984,0.979609830505215,0.672726888380672,0.3981357415645922,
0.25,6094,pca50_from_visible,0.8558254837989807,0.9864304661750793,0.9753557443618774,0.352393239736557,
0.25,6094,nn_copy,0.9629967212677002,0.979984700679779,0.9209820032119751,0.9474679827690125,352.0
0.25,6291,corpus_mean,0.6937292814254761,0.7280904054641724,0.6953352689743042,0.6862642765045166,
0.25,6291,linear_interp,0.4654952564801293,0.8909920956794465,0.468539575406239,0.339047168957563,
0.25,6291,pca50_from_visible,0.9468584060668945,0.987800657749176,0.9390860795974731,0.9147678017616272,
0.25,6291,nn_copy,0.9536409378051758,0.9861695170402527,0.9438064098358154,0.9812454581260681,3805.0
0.25,6488,corpus_mean,0.7713754177093506,0.719476044178009,0.7457863092422485,0.8516461849212646,
0.25,6488,linear_interp,0.207292806598594,0.8336073374369003,-0.21430923230060492,0.774471127660905,
0.25,6488,pca50_from_visible,0.6237331628799438,0.8935266733169556,0.47583383321762085,0.6270442008972168,
0.25,6488,nn_copy,0.5631493330001831,0.8408830165863037,0.42397937178611755,0.9106780886650085,2906.0
0.25,6684,corpus_mean,0.7321467399597168,0.7227967381477356,0.6885839700698853,0.6661580801010132,
0.25,6684,linear_interp,0.7022061121827081,0.739622723776508,0.7327952717101581,0.3848026728791272,
0.25,6684,pca50_from_visible,0.9844133257865906,0.9854701161384583,0.9787458777427673,0.8279463052749634,
0.25,6684,nn_copy,0.9202978610992432,0.9263095855712891,0.8783275485038757,0.9393362998962402,1990.0
0.25,6881,corpus_mean,0.7702987790107727,0.7393977046012878,0.8645797967910767,0.5114375352859497,
0.25,6881,linear_interp,0.7166837290267531,0.8094210557923054,0.7654561717333833,0.40309080697075506,
0.25,6881,pca50_from_visible,0.9255968928337097,0.9431442618370056,0.9654704332351685,0.12069310247898102,
0.25,6881,nn_copy,0.9900982975959778,0.9776705503463745,0.98649662733078,0.9323508739471436,418.0
