row_index,status,peak_index,peak_value,baseline,noise_sd,prominence,prominence_snr,dominance_ratio,left_index,right_index,suppression_width,cutoff
4692,suppressed,73179,1.0,0.005104651484260581,0.003665995840969058,0.9974960716502249,272.0941634747054,30.96511472778178,73118,73243,125,0.034432618212013044
4693,suppressed,73129,1.0,0.007337076376695353,0.005241865856084248,0.9964020861003878,190.0853843758442,25.24054374211576,73067,73189,122,0.049272003225369336
4694,suppressed,73140,1.0,0.011559173202483935,0.008695747237916485,0.9945089035913296,114.36727360875032,8.675214653076196,73097,73187,90,0.08112515110581582
4695,suppressed,73113,1.0,0.006993043522672126,0.00483899106244786,0.9967882596562732,205.99092802457795,26.28118840595587,73056,73173,117,0.04570497202225501
4696,suppressed,73160,1.0,0.0057990167971573485,0.004792890828737853,0.9975808508999462,208.13761183929293,24.65893241473906,73107,73220,113,0.044142143427060174
4697,suppressed,73186,1.0,0.007844220271909938,0.005777192397751013,0.9960524754440182,172.41116564367297,19.36745137237924,73136,73241,105,0.05406175945391804
4698,suppressed,73162,1.0,0.007153972247395968,0.00548393445286732,0.9966531048515822,181.74052104697822,18.867374889606833,73110,73216,106,0.05102544787033453
4699,suppressed,73139,1.0,0.004882805983039259,0.0034478641243388384,0.9974752402600787,289.30236351798067,35.9464275188598,73069,73210,141,0.03246571897774997
4700,suppressed,73201,1.0,0.008438461439625464,0.0068587784873078515,0.9965325589481022,145.29300819266618,16.079333734343443,73153,73250,97,0.06330868933808828
4701,suppressed,73157,1.0,0.0074416536479689765,0.005587422150641409,0.9963856199940054,178.32653290384104,21.225134271886926,73105,73213,108,0.05214103085310025
4702,suppressed,72524,1.0,0.00871989089955313,0.002385216845105134,0.9926261271547191,416.1576039477311,28.3601867628041,72452,72602,150,0.0278016256603942
4703,suppressed,73158,1.0,0.0057670470118809805,0.0037042414780372552,0.9962785868169739,268.95616625535604,29.23558610697945,73096,73229,133,0.03540097883617902
4704,suppressed,73170,1.0,0.0036854071586523533,0.0024251422405726264,0.9978492544324201,411.46009406722766,41.49765591451837,73100,73247,147,0.023086545083233365
4705,suppressed,73177,1.0,0.008369389950045443,0.005549257745816023,0.9953881793118924,179.37321077983552,20.788773815347362,73125,73231,106,0.052763451916573625
4706,suppressed,73158,1.0,0.006947751734496296,0.004715244924430418,0.9956043982093651,211.14585014470484,26.5506730583705,73102,73220,118,0.04466971112993964
