feature_group,feature_name,classifier,episode,n_train,n_test,status,error,accuracy,macro_f1,macro_precision,macro_recall
foundation_backbone,mae_flatten,xgboost_depth2,12,40,102,ok,,0.3627450980392157,0.28030479988605617,0.29419703103913636,0.29761053448839486
foundation_backbone,mae_flatten,svm_C1p0,13,40,102,ok,,0.43137254901960786,0.38615934612404446,0.406024531024531,0.4026165958374196
foundation_backbone,mae_flatten,logreg_C0p1,13,40,102,ok,,0.45098039215686275,0.4007594417077176,0.43545489469402515,0.41348616105481095
foundation_backbone,mae_flatten,xgboost_depth2,13,40,102,ok,,0.45098039215686275,0.3903628295314031,0.39704545454545453,0.39626069249209983
foundation_backbone,mae_flatten,svm_C1p0,14,40,102,ok,,0.4215686274509804,0.3375564198597907,0.34086597307221544,0.33644573389996735
foundation_backbone,mae_flatten,logreg_C0p1,14,40,102,ok,,0.4215686274509804,0.3325970207285364,0.3381865695280329,0.3302583905415713
foundation_backbone,mae_flatten,xgboost_depth2,14,40,102,ok,,0.38235294117647056,0.31261745500875937,0.32285575048732945,0.3094897570011987
foundation_backbone,mae_flatten,svm_C1p0,15,40,102,ok,,0.43137254901960786,0.3748688231563167,0.3894993894993895,0.3712763566525008
foundation_backbone,mae_flatten,logreg_C0p1,15,40,102,ok,,0.4803921568627451,0.39741315594974136,0.405,0.3974797728015691
foundation_backbone,mae_flatten,xgboost_depth2,15,40,102,ok,,0.46078431372549017,0.3962707015352379,0.4076595009331582,0.39429415931132183
