epoch,split,lr,loss,balanced_loss,raw_loss,masked_loss,unmasked_loss,jigsaw_loss,coverage_loss,masked_loss_norm,unmasked_loss_norm,jigsaw_loss_norm,coverage_loss_norm,peak_bin_frac,masked_peak_bins_mean,jigsaw_token_accuracy,mask_ratio
6,train,0.00017999999999999998,2.0667415837611047,2.0667415837611047,4.762658123142463,0.003254649211548669,0.000241494829326768,4.759379317937803,0.0,0.9812830462436045,0.8667755880631691,0.9987809778737627,0.0,0.171875,8.774276859504132,0.06971702890947831,0.39908147978881175
6,val,0.00017999999999999998,1.9104924612357967,1.9104924612357967,4.717949257522333,0.0029837139061514714,5.859771188058448e-05,4.7149597074164715,0.0,0.8883216337102359,0.2970991122429488,0.9924608986885821,0.0,0.17187500024428132,8.71516393442623,0.08602855244620902,0.3957668191096822
7,train,0.00020999999999999998,2.0402601198716597,2.0402601198716597,4.7348912648918215,0.0030243496876209974,0.0001337698247745029,4.731853520574648,0.0,0.9535989507663348,0.8790510240172552,0.9987560606692448,0.0,0.171875,8.83363464450048,0.07271506569602272,0.40077835801711753
7,val,0.00020999999999999998,2.056764569438872,2.056764569438872,4.6869625654376925,0.002800685805879289,4.003819046121236e-05,4.684157879626165,0.0,1.0278869202879608,0.3682707086449764,0.9920505871538257,0.0,0.17187500024428132,8.71516393442623,0.09005487160604508,0.3957668191096822
8,train,0.00023999999999999998,2.067127259802227,2.067127259802227,4.713389713902119,0.0027846230852055895,8.191966046355491e-05,4.710596908222545,0.0,0.9770419339010538,0.9069248080746202,0.9993928436898003,0.0,0.171875,8.860537190082646,0.07661534670340128,0.4022980157501441
8,val,0.00023999999999999998,2.1113338802681594,2.1113338802681594,4.68194251764016,0.0026386059385525885,3.5392804510011645e-05,4.67930037076356,0.0,1.0658958568924763,0.514426867981426,0.9939953469839252,0.0,0.17187500024428132,8.71516393442623,0.09194395972079918,0.3957668191096822
9,train,0.00027,2.11303829407889,2.11303829407889,4.69229820149004,0.0026107168119508498,5.39515543599663e-05,4.689682087622399,0.0,1.0213791609795626,0.9282154615752953,0.9988375988380969,0.0,0.171875,8.800576793260811,0.07896099670613108,0.398514844908202
9,val,0.00027,1.9057033824138954,1.9057033824138954,4.654589418505059,0.002460341200186703,1.851318549716914e-05,4.652127258113174,0.0,0.8735605825166233,0.3823336924685807,0.9939094312855454,0.0,0.17187500024428132,8.71516393442623,0.09513679879610656,0.3957668191096822
10,train,0.0003,2.0793395244385584,2.0793395244385584,4.679760359535533,0.0025417798979030844,4.282976380847144e-05,4.677214275706898,0.0,0.9857785347079443,0.9408866965081081,0.9994723252521074,0.0,0.171875,8.778581268531232,0.0817606271791064,0.4005749075373342
10,val,0.0003,1.903378740685885,1.903378740685885,4.65031620713531,0.0023294982641599462,1.3160545587779183e-05,4.647985403655006,0.0,0.8719701527572069,0.35795920354421024,0.9956126740721406,0.0,0.17187500024428132,8.71516393442623,0.09949230756915983,0.3957668191096822
11,train,0.0003,2.055933490272396,2.055933490272396,4.659522844740182,0.00234625266272236,2.826494835987004e-05,4.657173765592338,0.0,0.9621236974542792,0.9471484691150918,0.9990949453401171,0.0,0.171875,8.814006545326926,0.08539087386909595,0.40168093846849173
11,val,0.0003,1.9939439707115048,1.9939439707115048,4.618552590979904,0.002111637109860045,1.788709964710536e-05,4.616439225243741,0.0,0.9377245746675085,0.6293686882394259,0.9932825233115524,0.0,0.17187500024428132,8.71516393442623,0.10255607229764344,0.3957668191096822
