family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
jigsaw,jigsaw_multibin,unfreeze_last_1,10,4,30,83,ok,,0.5301204819277109,0.43853519668737057,0.44175824175824174,0.5336863939273578,0.4468253968253968,0.43853519668737057,0.6691883710341561,"[[5, 4, 7], [2, 33, 11], [7, 8, 6]]"
jigsaw,jigsaw_multibin,unfreeze_last_1,10,5,30,83,ok,,0.4457831325301205,0.4087301587301588,0.39995483288166217,0.45916185065465115,0.4030864197530864,0.4087301587301588,0.6652078470977488,"[[4, 8, 4], [10, 23, 13], [6, 5, 10]]"
jigsaw,jigsaw_multibin,unfreeze_last_1,10,6,30,83,ok,,0.4457831325301205,0.4037698412698412,0.3906926406926407,0.46553747457361916,0.41089726213065875,0.4037698412698412,0.6557803850839897,"[[3, 5, 8], [7, 23, 16], [7, 3, 11]]"
jigsaw,jigsaw_multibin,unfreeze_last_1,10,7,30,83,ok,,0.5783132530120482,0.4588940648723258,0.45553921568627453,0.5558610914245217,0.46693969610636277,0.4588940648723258,0.633126051189573,"[[5, 6, 5], [5, 38, 3], [6, 10, 5]]"
jigsaw,jigsaw_multibin,unfreeze_last_1,10,8,30,83,ok,,0.5421686746987951,0.4938750862663907,0.48663320749986744,0.5585911531109758,0.49141999141999143,0.4938750862663907,0.6577476076766965,"[[6, 3, 7], [6, 29, 11], [6, 5, 10]]"
jigsaw,jigsaw_multibin,unfreeze_last_1,10,9,30,83,ok,,0.5180722891566265,0.4399154589371981,0.44165572327229624,0.5351914496994663,0.45595408895265416,0.4399154589371981,0.6567076963041565,"[[5, 5, 6], [11, 31, 4], [9, 5, 7]]"
jigsaw,jigsaw_multibin,unfreeze_last_1,10,10,30,83,ok,,0.5662650602409639,0.5342477570738441,0.5201965470658968,0.5772297509143502,0.5280092592592592,0.5342477570738441,0.728509941331266,"[[6, 2, 8], [7, 28, 11], [2, 6, 13]]"
jigsaw,jigsaw_multibin,unfreeze_last_1,15,1,45,68,ok,,0.5,0.5205561714708056,0.4685532332591156,0.5338933461770833,0.5059288537549408,0.5205561714708056,0.7010467466514214,"[[7, 0, 4], [9, 20, 12], [7, 2, 7]]"
jigsaw,jigsaw_multibin,unfreeze_last_1,15,2,45,68,ok,,0.6029411764705882,0.533120842572062,0.5254396272702909,0.6195020063811287,0.5261904761904762,0.533120842572062,0.7863150492255647,"[[5, 1, 5], [3, 29, 9], [4, 5, 7]]"
jigsaw,jigsaw_multibin,unfreeze_last_1,15,3,45,68,ok,,0.4264705882352941,0.416620473022912,0.3858260019550342,0.45925478695877175,0.4296157059314954,0.416620473022912,0.6627424303932649,"[[3, 2, 6], [11, 17, 13], [5, 2, 9]]"
