row_index,shape_corr_excl_water_edta
398,0.12697500472704396
399,0.3642595595596323
400,0.3546432175501411
401,0.36227281906392717
402,0.3764257215780708
403,0.09754388546962342
404,0.10542453008679552
405,0.10542453008679555
406,0.05945077788542972
407,0.059450777885429976
408,0.042597798186045366
409,0.1378374850158001
410,0.13783748501579918
411,0.10282585031821742
412,0.3504702256229879
413,0.05699534311079021
414,0.1011640183474198
415,0.11329387110081056
416,0.11329387110081021
417,0.3350010395616346
418,0.36287133731013316
419,0.13423920027286543
420,0.13423920027286715
421,0.0549242101458909
422,0.34496393798811764
423,0.29335455836128044
424,0.3466608818356071
425,0.1224081232968937
426,0.10349947795238519
427,0.12951628461420844
428,0.12951628461420972
429,0.09766877442136108
430,0.10836919753928254
431,0.09507859569265795
432,0.09507859569265756
433,0.09877025070281747
434,0.14229874036599752
435,0.07513050375407966
436,0.07513050375407958
437,0.034078436433951365
438,0.32611151630903346
439,0.11974724000833617
440,0.11974724000833578
441,0.329371851277253
442,0.3228211674742316
443,0.06713868604937699
444,0.06713868604937814
445,0.3484121083144255
446,0.15275298241602758
447,0.15275298241602803
448,0.08206703016328673
449,0.0820670301632867
450,0.07648552305548326
451,0.37516325023301383
452,0.3707654317717678
453,0.338174769436911
454,0.06429363272063653
455,0.10521370721251408
456,0.08984811661562159
457,0.08984811661562328
458,0.32332732515096585
459,0.028473864526925595
460,0.1140055138994488
461,0.11400551389944914
462,0.36558612886201347
463,0.048630288905549844
464,0.34920524442335815
465,0.37533728680398226
466,0.3611544290042422
467,0.3396620505427069
468,0.10968864333109687
469,0.10968864333109686
470,0.3246772094188992
471,0.32659020834234875
472,0.37884075720170796
473,0.13094740410310082
474,0.10234451224392893
475,0.10234451224392888
476,0.3721663217886922
477,0.1021590679601717
478,0.10215906796017116
479,0.04093579233448937
480,0.13876049855895645
481,0.13876049855895584
482,0.33731252355644803
483,0.3661527806697134
484,0.11630239428552094
485,0.11630239428552068
486,0.29597829526880426
487,0.35630931600958515
488,0.11376157842124028
489,0.34613187049072636
490,0.32697616097512777
491,0.10942002082405215
492,0.3228297132822381
493,0.3184101214089504
494,0.07089606209459713
495,0.09659867752884678
496,0.09659867752884953
497,0.11824003732025067
498,0.11824003732025191
499,0.29083154933781274
500,0.362289922452775
501,0.058740332485929136
502,0.34531767312228684
503,0.3422856388435613
504,0.10448346147891524
505,0.10448346147891563
506,0.08661307356409573
507,0.08661307356409528
508,0.3556320450284705
509,0.3486166186697663
510,0.08860585647496513
511,0.08860585647496613
512,0.08448416599622355
513,0.0844841659962231
514,0.3861733800934125
515,0.06879120536147575
516,0.34042290696888794
517,0.3302460376225223
518,0.3000860510802693
519,0.09136662536123784
520,0.0913666253612375
521,0.12542302437313999
522,0.12542302437313957
523,0.05297449663420873
524,0.288280232361701
525,0.30977593314654106
526,0.2768681210878407
527,0.3597437661374178
528,0.09927317567395876
529,0.083958624084202
530,0.3957914926516513
531,0.36570733998361776
532,0.2819258196742371
