row_index,n_missing_peaks,mahalanobis_dist,isolation_forest_score,lof_score,vote_count,shape_correlation_to_median
1197,22,392.49999981480494,-0.12866697651215198,1.867437073354657,1,0.12449384272422215
1207,21,877.7911438899304,0.004026193593769212,1.448314706832662,1,0.13201552112663512
1235,28,774.1006289607099,0.01574090036265796,1.2626906580406163,1,0.12704642969066193
1240,23,1016.8917898833122,0.05312467197768622,1.7823029438314406,1,0.14051279726778088
1248,23,778.5155621300783,0.0018230454014525055,1.4339352843873474,1,0.13885873198497406
1266,25,411.6919949164334,-0.0968983881255186,1.984195031116736,1,0.11515750962341637
1290,23,2963.1778941330285,-0.04703251765578664,1.5456638225231958,1,0.1451351903437971
1323,20,672.473903121567,0.03422012050883616,1.2435527387064114,1,0.15655216445627448
1339,24,2526.046030449918,-0.10587904765193401,1.2204151501183083,1,0.11849585271959603
1360,20,3182.7547194798794,-0.01911148720275513,1.313581185206564,1,0.14180341434099036
1118,19,702.3673960188855,0.04434196374359811,1.5807145068014994,1,0.1429212636092624
456,37,175.0307634547288,-0.1417572844451349,1.8843286839503492,1,0.019304183885045116
457,37,175.03076345472815,-0.1417572844451349,1.8843286839503406,1,0.01930418388504557
472,21,731.0662960061312,0.0009338851569432594,1.0960973189633771,1,0.138078023212908
477,41,495.0937617947999,0.01354304720828059,1.3996663777347718,1,0.01207769750669356
478,41,495.0937617948018,0.01354304720828059,1.3996663777347875,1,0.0120776975066935
500,19,855.6636652634882,-0.03464336613317359,2.1716350701223406,1,0.13019303898543202
508,19,2977.259261426134,-0.07579535382259939,1.2199222434035581,1,0.13170209829325027
530,20,886.1455351315259,0.0875955673073946,1.3761779994951868,1,0.1524311275032438
580,23,674.3987694375758,0.007320541219155707,1.33489798640502,1,0.11937435334773974
584,22,535.2454771684131,-0.07820917598022736,2.0065630284293943,1,0.127951215087935
586,18,2553.7911977703416,-0.07556346386966217,1.085618594394101,1,0.12500513854389148
597,23,1127.4060287904367,0.07281838111144545,1.341731910298849,1,0.1377598493177106
892,27,963.1279023940878,0.0023785945345478066,1.3971168718402516,1,0.12953530664371035
621,23,744.260944188515,0.0169549493875647,1.0953773838135803,1,0.13438369654807425
669,20,2732.22479977654,-0.1257799464581449,1.3572449547839538,1,0.11612133422598642
685,21,624.7614016412058,0.009918630636389758,1.48174299778401,1,0.1257568960996707
686,22,2824.5161055483018,-0.06867712185843955,1.5559471716306121,1,0.1172989334232524
746,20,987.0130634184045,0.0682439249258946,1.386475291974933,1,0.14898250452909506
755,21,824.5585642298026,0.0846657032402649,1.235300034306515,1,0.14573243497587163
790,22,2903.9485841927813,-0.10374493811784613,1.2546736745728395,1,0.11814100875334295
800,21,3168.115411514219,-0.04519041296084947,1.2163293181678405,1,0.13810781406739972
818,27,254.09054708059077,-0.13879158669752995,1.9718133818710961,1,0.07341699159578063
825,30,980.1654031124378,0.006521844941012156,1.2144554183164247,1,0.11621495227779291
826,35,4982.558636280213,-0.1166616690167116,1.8112447596267582,1,0.018774544142721283
840,21,2881.0674216746274,-0.14439196268302074,1.3554569601599764,1,0.1207109109287924
619,19,2012.1658385966907,-0.04187550369272974,1.138515878757083,1,0.12750518908905628
2098,20,3011.3165821686807,-0.1350611879802705,1.246084804108943,1,0.11210638826261257
2129,31,865.1061957750652,-0.018432382150267546,1.967487287597962,1,0.12093545093969023
2130,22,648.2813493689313,0.009998985533319571,1.1389485232281307,1,0.135286608912044
2182,4,13.29144516526619,0.048305204504232924,1.4365158566853071,1,0.8606775407477768
2212,27,2857.452270401432,-0.029889575268361168,1.3486487290199005,1,0.12836540468473875
2213,4,14.534424805469301,-0.17515130095650372,2.168448668100731,1,0.8372510492039125
2287,22,2899.290892478747,-0.12860824041990204,1.354695640058189,1,0.12477948983387233
2322,19,3096.5344309665516,-0.01968109012381747,1.4871612047423246,1,0.14079170697587734
2358,2,15.225426859534709,0.019186533375622372,1.468699775380807,1,0.8819271289709772
2415,5,12.567404744873278,0.042151193126888975,1.4775363596647895,1,0.7981038470383858
2501,20,667.7047051046225,0.053274746234830306,1.477737041366409,1,0.13988037912352294
2575,24,820.0072868054943,0.06684446462806826,1.3000069544723314,1,0.14445181209444785
1388,21,928.792147579318,0.07501372642814386,1.5340457482387775,1,0.14593932972501644
2641,22,2862.8559739399557,-0.023585418626502985,1.3450929732845551,1,0.14521760209340115
2812,6,33.62368514095309,0.028775866554089702,1.4257538855887257,1,0.727486567015854
2980,21,515.9566633554779,-0.09594956010458727,1.9335757322110019,1,0.09154945067276157
3019,4,15.634516459545322,0.0392240431336921,1.7029039766567486,1,0.6186135841004184
3108,25,778.4593806271782,0.04497266546720613,1.3845319978442885,1,0.14442803100271742
3113,23,358.89551498644835,-0.11172144668312978,2.1601787011122733,1,0.09687912814198119
3169,21,473.26652251217996,-0.11240285143591594,1.8789689938547944,1,0.4254506797759742
3195,22,2875.345914559518,-0.08727305176184241,1.4558602988749736,1,0.11822574220077409
3275,20,1490.9422310602015,-0.09463631075945828,1.3574570214249515,1,0.10825475366860784
3281,4,32.2119364971246,-0.10190652455550336,2.014995948564747,1,0.9176004536818209
3329,19,167.65445109349997,-0.13236449935916988,2.2952515753946416,1,0.8963471632280758
3387,6,13.033919013754156,-0.18099813231410816,2.052135367897928,1,0.7487436301869774
2592,23,3049.557986523179,-0.05944715438867776,1.371218014007071,1,0.12344602419519285
1402,22,2831.0516902283525,-0.010625556371611777,1.7461211200575335,1,0.15086008074565352
1409,22,2832.3285630617747,-0.06703672187026016,1.3941439943427443,1,0.13501469367482422
1412,20,568.1687876870064,0.054524945256356205,1.637493223188257,1,0.1398241630234009
1413,8,24.982527399220867,-0.08712341238971505,2.7318651361075057,1,0.793912699707043
1425,17,589.4711773066113,0.007178646955756207,1.5849213110973865,1,0.13158889052183223
1441,20,516.8782589524225,0.011884979706941357,1.5610525261784067,1,0.13499567441628707
1467,23,2907.9057610500404,-0.15169413012014799,1.8489250359179938,1,0.08171137744793312
1492,33,484.97733405469324,-0.11905662842995757,1.9469414284118165,1,0.6782119494748812
1509,20,362.8708988088718,-0.11800750100965224,2.1858271672723695,1,0.13561474521245803
1545,15,532.2825363304544,0.008038725039142824,1.336365462621699,1,0.15005046560794955
1558,24,420.44508240905463,-0.1083071109377326,2.011985229608349,1,0.09656137436845541
1575,2,25.889945457744407,-0.03275662472879637,2.2294932052086436,1,0.7765916829975108
2044,24,706.6894925436967,0.020852161237594702,1.257827099623682,1,0.1414892095383011
1624,20,2842.8667652672966,-0.08083938649163608,1.295686703623442,1,0.1299319553946302
1653,23,653.9635230807382,0.0315962189677409,1.2697075370905944,1,0.15194223282024463
1660,21,393.88904010009685,-0.11487040202339327,2.4150369835508974,1,0.12776972930226232
1697,4,12.203879739605117,0.0003237617819064065,1.4938714123619585,1,0.8344509755477146
1739,25,717.7077477241783,0.039400160858538924,1.4244982033422222,1,0.12592015126638553
1755,22,431.58429111465335,-0.012122587619725511,3.2387257374804603,1,0.12129537190613603
1806,26,2841.101262808555,-0.017572723153391312,1.3378671242568836,1,0.14677932555410203
1840,24,421.8905496027835,-0.0391922997117054,2.0269760570639885,1,0.15212652162434037
1865,23,832.1391804118202,0.0036605758946114397,1.2122041654487545,1,0.1330539142034636
1948,20,712.2735382554054,0.017036350225208552,1.0986379369718153,1,0.13480929067992087
2015,25,2870.1490324328124,-0.13014506238248336,1.3758480854987323,1,0.11520334957895159
2030,3,26.31539463416606,-0.07080681020667556,1.879849589487847,1,0.8048044163486886
1576,25,351.43319907735753,-0.11527637899414389,4.679722319048795,1,0.10190028670707411
